region,period,period_label,publish_date,sort_key,industry_yoy_pct,mining_yoy_pct,manufacturing_yoy_pct,utilities_yoy_pct,electronics_yoy_pct,electrical_yoy_pct,auto_yoy_pct,robot_yoy_pct,ic_yoy_pct,title,source_org,source_url
广东,2026_H1,2026年上半年,2026-07-23,2026-06,5.8,8.8,5.4,8.9,11.6,4.2,9.9,34.2,29.7,2026年上半年广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4927622.html
广东,2026_01_05,2026年1-5月,2026-06-26,2026-05,3.2,12.2,2.7,6.1,12.2,3,3.4,34.6,36.2,2026年1—5月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4916178.html
广东,2026_01_04,2026年1-4月,2026-05-29,2026-04,3.9,16.3,3.3,6,12.7,3.4,0.6,0,0,2026年1—4月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4903556.html
广东,2026_Q1,2026年一季度,2026-04-21,2026-03,5.4,18.8,5,5.2,13.4,4.9,0.3,0,0,2026年一季度广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4887387.html
广东,2026_01_02,2026年1-2月,2026-03-19,2026-02,7.9,5.5,7.8,10.2,14.2,0,0,0,47.5,2026年1—2月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4872154.html
广东,2025,2025年,2026-01-30,2025-12,3,3,3.2,0.3,7.1,4,0,0,0,2025年广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4850498.html
广东,2025_11,2025年11月,2025-12-19,2025-11,3.2,3.6,3.4,0.2,7.1,5.2,0,0,0,2025年11月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4831831.html
广东,2025_10,2025年10月,2025-11-21,2025-10,2.9,3.3,3.8,-0.1,7.3,6.3,9.5,0,0,2025年10月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4803382.html
广东,2025_Q3,2025年前三季度,2025-10-24,2025-09,3.5,0,3.9,-0.4,7.5,6.3,8.2,0,0,2025年前三季度广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4789026.html
广东,2025_08,2025年8月,2025-09-19,2025-08,2.2,0.5,7,0,7,6.5,8.3,0,0,2025年8月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4775291.html
广东,2025_07,2025年7月,2025-08-22,2025-07,2.4,-0.4,2.8,-1.5,0,7.1,0,0,0,2025年7月份广东规模以上工业生产运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4761941.html
