region,period,period_label,publish_date,sort_key,investment_yi,investment_yoy_pct,residential_investment_yi,sales_area_wan_sqm,sales_area_yoy_pct,residential_sales_area_wan_sqm,sales_amount_yi,sales_amount_yoy_pct,residential_sales_amount_yi,construction_area_wan_sqm,completed_area_wan_sqm,pr_sales_area_wan_sqm,pr_investment_yi,title,source_org,source_url
广东,2026_H1,2026年上半年,2026-07-23,2026-06,3967.96,-21.6,3104.56,2823.5,-13.3,0,4499.85,-10.4,0,58036.01,1402.35,1935.29,3529.66,2026年上半年广东房地产市场运行简况,广东省统计局,http://stats.gd.gov.cn/tjkx185/content/post_4927616.html
广东,2026_01_05,2026年1-5月,2026-06-26,2026-05,3088.59,-21.9,2458.88,2189.6,-14.7,0,3463.97,-9.3,0,57634.08,1227.74,1458.94,2738.27,2026年1—5月份广东房地产市场运行简况,广东省统计局,http://stats.gd.gov.cn/tjkx185/content/post_4916181.html
广东,2026_01_04,2026年1-4月,2026-05-29,2026-04,2477.43,-17.9,1967.65,1718.24,-15.4,0,2593.1,-14,0,58029.82,0,1145.62,2186.42,2026年1—4月份广东房地产市场运行简况,广东省统计局,http://stats.gd.gov.cn/tjkx185/content/post_4903569.html
广东,2026_Q1,2026年一季度,2026-04-29,2026-03,1866.08,-14.8,1454.43,1313.34,-15.6,0,1965.88,-14.4,0,57706.15,882.98,876.72,1638.69,【图解数据】2026年一季度广东房地产市场运行简况,广东省住房和城乡建设厅,http://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4891221.html
广东,2026_01_02,2026年1-2月,2026-03-20,2026-02,1033.03,-17.8,797.91,656.22,-20.4,0,870.12,-26.3,0,57381.49,618.7,413.31,906.95,【图解数据】2026年1—2月份广东房地产市场运行简况,广东省住房和城乡建设厅,http://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4872729.html
广东,2025,2025年,2026-01-30,2025-12,8598.22,-23.6,6532.62,6204.67,-17.1,4930.74,9720.13,-18.3,8374.26,64557.35,4601.09,4215.71,7484.19,【图解数据】2025年广东房地产市场运行简况,广东省住房和城乡建设厅,http://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4850764.html
广东,2025_01_11,2025年1-11月,2025-12-30,2025-11,8146.86,-21.5,6233.51,5626.08,-14.8,0,8643.92,-16,0,64864.26,3577.68,3807.58,7113.68,【图解数据】2025年1-11月份房地产市场运行简况,广东省住房和城乡建设厅,https://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4836762.html
广东,2025_01_10,2025年1-10月,2025-11-28,2025-10,7585.29,-20.7,5826.13,5129.82,-14.1,4114.6,7836.31,-16.7,6803.71,64969.08,3199.76,3461.71,6641.48,【图解数据】2025年1-10月份房地产市场运行简况,广东省住房和城乡建设厅,https://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4808108.html
广东,2025_Q3,2025年前三季度,2025-10-31,2025-09,6949.34,-20.6,5318.25,4640.24,-12.5,0,7166.59,-13.8,0,64709.03,2861.9,3153.74,6082.78,【图解数据】2025年前三季度广东房地产市场运行简况,广东省住房和城乡建设厅,https://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4792406.html
广东,2025_01_08,2025年1-8月,2025-09-26,2025-08,6223.01,-19,4747.16,4085.1,-11.7,0,6247.39,-12.7,0,64293.9,2603.51,2747.63,0,【图解数据】2025年1-8月份房地产市场运行简况,广东省住房和城乡建设厅,https://zfcxjst.gd.gov.cn/xxgk/tjxx/content/post_4778686.html
