region,period,period_label,publish_date,sort_key,retail_total_yi,retail_yoy_pct,urban_yoy_pct,rural_yoy_pct,goods_retail_yoy_pct,catering_yoy_pct,online_retail_yoy_pct,communications_yoy_pct,title,source_org,source_url
广东,2026_H1,2026年上半年,2026-07-23,2026-06,23219.73,1.3,1.4,-0.2,0.3,4.4,8.3,33.3,2026年上半年广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4927609.html
广东,2026_01_05,2026年1-5月,2026-06-26,2026-05,,0.8,1,-0.8,-1,4.9,4.2,23,2026年1—5月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4916177.html
广东,2026_01_04,2026年1-4月,2026-05-29,2026-04,,1.4,1.5,0,0.1,0,0,0,2026年1—4月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4903574.html
广东,2026_Q1,2026年一季度,2026-04-21,2026-03,,2.5,2.8,0.2,3.1,6.1,11.4,26.9,2026年一季度广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4887407.html
广东,2026_01_02,2026年1-2月,2026-03-19,2026-02,,4.6,5.1,0.3,8.5,7.8,0,17,2026年1—2月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4872166.html
广东,2025,2025年,2026-01-30,2025-12,,2.8,3.1,0.7,0,0,15.2,28.6,2025年广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4850509.html
广东,2025_11,2025年11月,2025-12-19,2025-11,42314.39,2.5,0,0,0,0,13.6,31.7,2025年11月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4831808.html
广东,2025_10,2025年10月,2025-11-21,2025-10,4085.38,1.9,0,0,0,0,11.7,0,2025年10月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4803393.html
广东,2025_08,2025年8月,2025-09-19,2025-08,30404.32,3.2,0,0,0,0,17.9,0,2025年8月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4775292.html
广东,2025_07,2025年7月,2025-08-22,2025-07,26635.11,3.4,0,0,0,0,15.3,0,2025年7月份广东消费品市场运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4761939.html
