region,period,period_label,publish_date,sort_key,revenue_yoy_pct,transport_yoy_pct,it_yoy_pct,real_estate_svc_yoy_pct,leasing_yoy_pct,science_yoy_pct,environment_yoy_pct,resident_svc_yoy_pct,education_yoy_pct,health_yoy_pct,culture_yoy_pct,title,source_org,source_url
广东,2026_01_05,2026年1-5月,2026-07-01,2026-05,7.3,0,7.7,0,11.1,7.1,0,0.8,0,0,-2.6,2026年1—5月份广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4918845.html
广东,2026_01_04,2026年1-4月,2026-06-01,2026-04,6.3,0,8.2,0,10.6,4.8,0,0,0,0,-3.5,2026年1—4月份广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4904393.html
广东,2026_Q1,2026年一季度,2026-05-06,2026-03,6.1,0,8.1,0,10.2,8,0,0.2,0,0,-5.3,2026年一季度广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4892650.html
广东,2026_01_02,2026年1-2月,2026-03-31,2026-02,6.4,4.2,7.5,0.9,9.2,16.3,0.7,1.3,1.1,2.9,-8,2026年1—2月份广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4877030.html
广东,2025,2025年,2026-02-04,2025-12,6.6,6.3,9.2,0.3,7.8,3.8,-3.8,-2.8,1.3,-0.6,0.5,2025年广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4852547.html
广东,2025_01_11,2025年1-11月,2026-01-06,2025-11,6.7,0,9,2.3,8,4.4,-1.3,-2.5,1.8,-0.4,0.4,2025年1—11月广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4839764.html
广东,2025_01_10,2025年1-10月,2025-12-01,2025-10,6.9,6.2,9.4,1.7,7.8,5.7,-3.3,-2.8,2.1,-0.4,-0.7,2025年1—10月广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4806836.html
广东,2025_Q3,2025年前三季度,2025-11-03,2025-09,7.1,6.2,10,1,8.1,6.4,-4.4,-2.6,2.3,-0.7,-0.3,2025年前三季度广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4792763.html
广东,2025_01_08,2025年1-8月,2025-10-11,2025-08,7.1,6.6,9.5,1.9,8.3,5.1,-3.5,-2.6,3,-0.8,0.3,2025年1—8月份广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4783069.html
广东,2025_01_07,2025年1-7月,2025-09-04,2025-07,7,6.9,9.2,1.2,8.7,3.5,-3,-2.2,3.3,-1,0.5,2025年1—7月份广东规模以上服务业运行简况,广东省统计局,https://stats.gd.gov.cn/tjkx185/content/post_4768426.html
