city,deal_date,publish_date,district,location,land_use,area_sqm,price_wan,buyer,source_org,source_url
广州,2026-07-06,2026-07-06,海珠区,海珠区琶洲中二区AH041208地块,二类居住用地（R2）,20415.0,137498.0,广州云湖房地产开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10889263.html
广州,2026-07-06,2026-07-06,番禺区,番禺区洛浦街BA0206303地块,二类居住用地（R2）,52726.95,102861.0,广州国贸房地产有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10889254.html
广州,2026-07-06,2026-07-06,花都区,花都区天贵北路以东、花都大道以南CA0503071地块,二类居住用地（R2）,40090.55,67475.0,广州保泰实业发展有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10889271.html
广州,2026-06-22,2026-06-22,白云区,白云区黄边北路北侧AB2902026地块,二类居住用地（R2）,23484.0,134937.27,广州穗泰置业有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10861561.html
广州,2026-05-19,2026-05-19,花都区,花都区东边路以西、花都大道以北CC0604008地块,二类居住用地（R2）,68576.01,75441.0,广州市宝信房地产开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10815874.html
广州,2026-04-14,2026-04-14,荔湾区,荔湾区中山八立交东北侧AL011119地块,二类居住用地R2兼容体育用地A4，交通场站用地S4,26067.26,148762.0,广州金茂置业有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10776298.html
广州,2026-03-04,2026-03-04,天河区,天河区黄埔大道以南、马场路以东地块（马场1期地块）,商业用地B1兼容商务用地B2；其它交通设施用地S9；商务用地B2兼容商业用地B1；其它交通设施用地S9；二类居住用地R2；服务设施用地R22；中小学用地A33,194500.39,2360365.0,广州越诚达有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10709090.html
广州,2026-03-04,2026-03-04,番禺区,番禺区钟村街市广路北侧地块,二类居住用地R2,70364.49,79741.0,广州璟恒房地产开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10709074.html
广州,2026-03-04,2026-03-04,花都区,花都区雅瑶东路以北、广花公路以东CA0303020地块,二类居住用地,37593.57,56955.0,广州市花都区恒悦房地产开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10709081.html
广州,2026-01-21,2026-01-21,白云区,白云区太和镇未来产业创新核心区AB1208028地块,二类居住用地（R2）,106579.0,31470.52,广州海耀投资开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10655275.html
广州,2025-12-23,2025-12-23,天河区,天河区金融城东区AT091410地块,二类居住用地兼容商业用地（R2、B1）,27366.47,221218.0,广州珠实地产有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10605412.html
广州,2025-12-23,2025-12-23,海珠区,海珠区AH050335地块,二类居住用地（R2）,14417.8,143645.0,广州越泓房地产开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10605407.html
广州,2025-12-19,2025-12-19,白云区,白云区白云新城AB2911018地块,二类居住用地（R2）,31692.0,198324.0,广州穗泰置业有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10601088.html
广州,2025-12-19,2025-12-19,从化区,从化区江埔街沿江南路与江湾路（规划）交汇处东北侧FC0401047地块,二类居住用地（R2），社会停车场用地（S42）,17388.94,13421.0,广州海致投资开发有限公司,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10601094.html
广州,2025-12-18,2025-12-18,黄埔区,,二类居住用地兼容商业用地兼容公园绿地,200624.0,284420.0,,广州市规划和自然资源局,https://ghzyj.gz.gov.cn/ywpd/tdgl/tdjysc/cjgs/content/post_10598967.html
