date,y3m,y6m,y1y,y3y,y5y,y7y,y10y,y30y,spread_10y_1y,source,source_url
2026-07-24,1.0986,1.0994,1.1389,1.2825,1.4381,1.5621,1.7282,2.187,0.5893,cbrc_html,https://yield.chinabond.com.cn/cbweb-cbrc-web/cbrc/showCbrc
2026-07-23,1.1011,1.1054,1.1372,1.2867,1.4445,1.5763,1.7587,2.2687,0.6215,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-22,1.1005,1.1031,1.1375,1.2869,1.4378,1.5657,1.7562,2.2781,0.6187,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-21,1.1005,1.1032,1.142,1.2872,1.4481,1.5828,1.7721,2.3183,0.6301,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-20,1.1006,1.1051,1.1449,1.2889,1.4532,1.585,1.7721,2.3204,0.6272,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-17,1.091,1.0953,1.1441,1.2896,1.4511,1.5769,1.7672,2.313,0.6231,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-16,1.0998,1.0999,1.1297,1.2916,1.447,1.5835,1.7705,2.3223,0.6408,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-15,1.08,1.0848,1.1197,1.2921,1.447,1.579,1.7673,2.3175,0.6476,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-14,1.09,1.09,1.1197,1.294,1.4522,1.5818,1.7667,2.3283,0.647,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-13,1.0909,1.0909,1.1147,1.2945,1.4537,1.5837,1.7709,2.3368,0.6562,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-10,1.08,1.08,1.1097,1.295,1.4481,1.578,1.7664,2.3262,0.6567,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-09,1.0807,1.082,1.1122,1.2876,1.4465,1.5765,1.7642,2.3242,0.652,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-08,1.0811,1.0835,1.1147,1.2886,1.4463,1.5757,1.7652,2.3283,0.6505,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-07,1.0818,1.0859,1.1172,1.2916,1.4487,1.5835,1.7672,2.3345,0.65,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-06,1.0821,1.0871,1.1197,1.2909,1.4458,1.5818,1.7643,2.3277,0.6446,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-03,1.076,1.1064,1.1392,1.2912,1.4525,1.5953,1.7727,2.3425,0.6335,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-02,1.0699,1.1014,1.1367,1.2938,1.4504,1.5925,1.7671,2.3304,0.6304,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-07-01,1.0572,1.0921,1.1317,1.3065,1.4598,1.596,1.7709,2.3239,0.6392,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-30,1.0434,1.0621,1.1217,1.2936,1.4409,1.5755,1.7593,2.3058,0.6376,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-29,1.0227,1.0417,1.1017,1.2746,1.4193,1.5563,1.7431,2.2757,0.6414,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-26,1.0873,1.0901,1.1292,1.2901,1.4393,1.5737,1.7576,2.2834,0.6284,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-25,1.0881,1.0902,1.1467,1.2937,1.4458,1.5817,1.7611,2.2857,0.6144,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
2026-06-24,1.0919,1.1004,1.1642,1.3014,1.456,1.5932,1.7716,2.297,0.6074,api,https://yield.chinabond.com.cn/cbweb-mn/yc/searchXyFxsyl
