community_id,city_id,district_name,community_name
1,2,南山区,华润城润府
2,2,南山区,深圳湾科技城
3,2,南山区,熙璟城
4,2,福田区,京基100
5,2,福田区,水围村
6,2,龙华区,鸿荣源壹城中心
7,2,龙岗区,中海天钻
8,2,龙岗区,万科城
9,2,福田区,海月花园
10,2,福田区,深业上城
11,1,天河区,侨鑫汇景新城
12,1,天河区,珠江帝景苑
13,1,越秀区,越秀公园东门
14,1,越秀区,北京路名宅
15,1,海珠区,保利天悦
16,1,海珠区,广州塔江景花园
17,1,番禺区,万科四季花城
18,1,番禺区,碧桂园凤凰城
19,3,香洲区,中信红树湾
20,3,香洲区,华发新城
21,3,斗门区,珠海万科城
22,3,斗门区,世荣作品一号
23,3,香洲区,格力海岸
24,2,福田区,中核集团宿舍
25,2,龙岗区,星河智荟
26,2,龙岗区,信义金御半山三期
27,2,宝安区,联投东方华府一期
28,2,龙岗区,鹏华世家华府
29,2,罗湖区,凤凰路166号大院
30,2,坪山区,豪方东园
31,2,盐田区,诗宁别墅
32,2,罗湖区,童乐路综合楼7号楼
33,2,福田区,海外装饰大厦
34,2,大鹏新区,凯旋湾花园三期
35,2,罗湖区,笋岗仓库综合楼
36,2,龙华区,英伦国际公寓
37,2,龙华区,1970文化创意产业园
38,2,龙华区,尚品雅居
39,2,龙岗区,聚福大厦
40,2,福田区,南溪商住楼
41,2,南山区,东怡楼
42,2,福田区,中心村东区
43,2,坪山区,科技楼
44,2,龙岗区,横岗保障房
45,2,福田区,华康大厦
46,2,福田区,振华路42号
47,2,福田区,云中大厦
48,2,龙岗区,清林中路6号
49,2,罗湖区,边检一大院2期
50,2,福田区,梅林街道文化站
51,2,罗湖区,笋岗村183号
52,2,罗湖区,北站路23号
