community_id,city_id,district_name,community_name,restaurant_count,bank_count,convenience_count,nearest_restaurant_m,nearest_bank_m,nearest_convenience_m,commercial_score
1,2,南山区,华润城润府,3,3,3,165,52,72,100.0
2,2,南山区,深圳湾科技城,3,3,3,172,151,146,100.0
3,2,南山区,熙璟城,3,3,3,261,224,106,100.0
4,2,福田区,京基100,3,3,3,136,180,145,100.0
5,2,福田区,水围村,3,3,3,55,235,40,100.0
6,2,龙华区,鸿荣源壹城中心,3,3,3,79,152,49,100.0
7,2,龙岗区,中海天钻,3,3,3,109,116,79,100.0
14,1,越秀区,北京路名宅,3,3,3,35,97,44,100.0
15,1,海珠区,保利天悦,3,3,3,216,183,189,100.0
16,1,海珠区,广州塔江景花园,3,3,3,259,88,102,100.0
19,3,香洲区,中信红树湾,3,3,3,73,139,134,100.0
25,2,龙岗区,星河智荟,3,3,3,270,118,60,100.0
26,2,龙岗区,信义金御半山三期,3,3,3,146,145,117,100.0
28,2,龙岗区,鹏华世家华府,3,3,3,127,122,54,100.0
29,2,罗湖区,凤凰路166号大院,3,3,3,59,95,70,100.0
33,2,福田区,海外装饰大厦,3,3,3,54,36,60,100.0
35,2,罗湖区,笋岗仓库综合楼,3,3,3,83,139,8,100.0
38,2,龙华区,尚品雅居,3,3,3,138,193,0,100.0
40,2,福田区,南溪商住楼,3,3,3,26,194,23,100.0
41,2,南山区,东怡楼,3,3,3,146,135,44,100.0
42,2,福田区,中心村东区,3,3,3,34,185,1,100.0
45,2,福田区,华康大厦,3,3,3,66,129,127,100.0
46,2,福田区,振华路42号,3,3,3,27,240,28,100.0
47,2,福田区,云中大厦,3,3,3,80,150,42,100.0
50,2,福田区,梅林街道文化站,3,3,3,179,143,95,100.0
8,2,龙岗区,万科城,3,3,3,130,541,247,91.0
24,2,福田区,中核集团宿舍,3,3,3,112,666,54,91.0
39,2,龙岗区,聚福大厦,3,3,3,272,395,101,91.0
43,2,坪山区,科技楼,3,3,3,276,442,184,91.0
49,2,罗湖区,边检一大院2期,3,3,3,233,314,79,91.0
51,2,罗湖区,笋岗村183号,3,3,3,72,381,43,91.0
12,1,天河区,珠江帝景苑,3,3,3,323,160,135,85.0
13,1,越秀区,越秀公园东门,3,3,3,352,169,144,85.0
27,2,宝安区,联投东方华府一期,3,3,3,458,122,101,85.0
31,2,盐田区,诗宁别墅,3,3,3,323,138,157,85.0
52,2,罗湖区,北站路23号,3,3,3,114,462,321,85.0
9,2,福田区,海月花园,3,3,3,336,504,96,76.0
20,3,香洲区,华发新城,3,3,3,553,457,64,76.0
30,2,坪山区,豪方东园,2,3,3,447,99,69,74.5
21,3,斗门区,珠海万科城,3,3,3,658,402,333,70.0
48,2,龙岗区,清林中路6号,3,3,3,308,339,313,70.0
34,2,大鹏新区,凯旋湾花园三期,3,3,3,518,845,163,67.0
18,1,番禺区,碧桂园凤凰城,0,3,3,,134,148,50.0
10,2,福田区,深业上城,1,3,3,898,797,217,49.0
11,1,天河区,侨鑫汇景新城,0,3,3,,256,305,44.0
22,3,斗门区,世荣作品一号,0,3,3,,389,282,41.0
44,2,龙岗区,横岗保障房,1,3,3,665,882,566,40.0
23,3,香洲区,格力海岸,1,0,3,776,,212,34.0
17,1,番禺区,万科四季花城,0,0,3,,,253,20.0
32,2,罗湖区,童乐路综合楼7号楼,0,0,0,,,,0.0
36,2,龙华区,英伦国际公寓,0,0,0,,,,0.0
37,2,龙华区,1970文化创意产业园,0,0,0,,,,0.0
