community_id,city_id,district_name,community_name,life_score,school_score,commute_minutes,commute_score,total_score,rank_city
14,1,越秀区,北京路名宅,95.5,85.2,27.0,100.0,93.3,1
12,1,天河区,珠江帝景苑,90.9,86.0,21.0,100.0,91.3,2
16,1,海珠区,广州塔江景花园,90.9,85.8,23.0,100.0,91.2,3
15,1,海珠区,保利天悦,85.5,85.8,41.0,82.2,84.9,4
13,1,越秀区,越秀公园东门,86.4,85.2,47.0,72.0,83.2,5
11,1,天河区,侨鑫汇景新城,62.7,86.0,35.0,92.2,75.6,6
17,1,番禺区,万科四季花城,51.8,82.6,73.0,39.2,58.5,7
18,1,番禺区,碧桂园凤凰城,59.1,82.6,101.0,16.1,57.5,8
4,2,福田区,京基100,100.0,84.6,27.0,100.0,95.4,1
46,2,福田区,振华路42号,100.0,84.6,25.0,100.0,95.4,2
29,2,罗湖区,凤凰路166号大院,100.0,90.3,36.0,89.3,94.9,3
41,2,南山区,东怡楼,95.5,86.3,28.0,100.0,93.6,4
40,2,福田区,南溪商住楼,95.5,84.6,28.0,100.0,93.1,5
42,2,福田区,中心村东区,95.5,84.6,22.0,100.0,93.1,6
35,2,罗湖区,笋岗仓库综合楼,95.5,90.3,38.0,87.0,92.2,7
33,2,福田区,海外装饰大厦,92.7,84.6,26.0,100.0,91.7,8
45,2,福田区,华康大厦,92.7,84.6,27.0,100.0,91.7,9
1,2,南山区,华润城润府,95.5,86.3,44.0,76.7,89.0,10
9,2,福田区,海月花园,95.5,84.6,55.0,57.8,84.7,11
5,2,福田区,水围村,90.9,84.6,53.0,61.0,83.0,12
2,2,南山区,深圳湾科技城,79.1,86.3,39.0,85.7,82.6,13
6,2,龙华区,鸿荣源壹城中心,95.5,82.7,65.0,46.1,81.8,14
10,2,福田区,深业上城,83.6,84.6,51.0,65.5,80.3,15
49,2,罗湖区,边检一大院2期,95.5,90.3,,0.0,74.8,16
51,2,罗湖区,笋岗村183号,95.5,90.3,,0.0,74.8,17
47,2,福田区,云中大厦,95.5,84.6,,0.0,73.1,18
50,2,福田区,梅林街道文化站,90.9,84.6,,0.0,70.8,19
34,2,大鹏新区,凯旋湾花园三期,74.5,79.4,64.0,46.6,70.4,20
52,2,罗湖区,北站路23号,86.4,90.3,,0.0,70.3,21
7,2,龙岗区,中海天钻,95.5,0.0,36.0,89.7,65.7,22
24,2,福田区,中核集团宿舍,67.3,84.6,81.0,32.2,65.5,23
3,2,南山区,熙璟城,65.5,86.3,86.0,28.7,64.4,24
27,2,宝安区,联投东方华府一期,77.3,73.3,112.0,6.2,61.9,25
38,2,龙华区,尚品雅居,62.7,82.7,89.0,25.8,61.3,26
26,2,龙岗区,信义金御半山三期,92.7,0.0,53.0,61.2,58.6,27
39,2,龙岗区,聚福大厦,90.9,0.0,60.0,49.9,55.4,28
8,2,龙岗区,万科城,86.4,0.0,54.0,59.8,55.2,29
31,2,盐田区,诗宁别墅,90.9,0.0,63.0,47.4,54.9,30
43,2,坪山区,科技楼,95.5,0.0,90.0,24.6,52.7,31
44,2,龙岗区,横岗保障房,77.3,0.0,51.0,64.3,51.5,32
28,2,龙岗区,鹏华世家华府,88.2,0.0,76.0,36.5,51.4,33
25,2,龙岗区,星河智荟,79.1,0.0,68.0,43.6,48.3,34
30,2,坪山区,豪方东园,81.8,0.0,111.0,7.5,42.4,35
48,2,龙岗区,清林中路6号,74.5,0.0,,0.0,37.2,36
32,2,罗湖区,童乐路综合楼7号楼,0.0,90.3,,0.0,27.1,37
36,2,龙华区,英伦国际公寓,0.0,82.7,,0.0,24.8,38
37,2,龙华区,1970文化创意产业园,0.0,82.7,,0.0,24.8,39
19,3,香洲区,中信红树湾,77.3,81.9,,0.0,63.2,1
21,3,斗门区,珠海万科城,77.3,72.1,,0.0,60.3,2
20,3,香洲区,华发新城,68.2,81.9,,0.0,58.7,3
23,3,香洲区,格力海岸,68.2,81.9,,0.0,58.7,4
22,3,斗门区,世荣作品一号,65.5,72.1,,0.0,54.4,5
