city_id,district_name,admin_code,area_code,community_count,listing_count,median_build_year,median_unit_price,index_value,mom_change_pct,yoy_change_pct,avg_school_score,premium_ratio_pct,school_count
1,从化区,440117,4401,0,0,,,,,,,,0
1,南沙区,440115,4401,0,0,,,,,,,,0
1,增城区,440118,4401,0,0,,,,,,,,0
1,天河区,440106,4401,2,111,2014,70333,99.7,-5.34,,86.0,27.3,3
1,海珠区,440105,4401,2,113,2016,49636,98.8,-2.34,,85.8,-5.0,1
1,番禺区,440113,4401,2,104,2015,36677,104.6,11.89,,82.6,-37.8,3
1,白云区,440111,4401,0,0,,,,,,,,0
1,花都区,440114,4401,0,0,,,,,,,,0
1,荔湾区,440103,4401,0,0,,,,,,,,0
1,越秀区,440104,4401,2,103,2014,58212,95.8,4.77,,85.2,3.1,5
1,黄埔区,440112,4401,0,0,,,,,,,,0
2,光明区,440311,4403,0,0,,,,,,,,0
2,南山区,440305,4403,4,177,2013,24751,25.7,-74.45,,86.3,23.2,4
2,坪山区,440310,4403,2,4,2008,49647,100.0,,,0.0,-36.0,0
2,大鹏新区,440312,4403,1,1,2013,,,,,79.4,-38.5,2
2,宝安区,440306,4403,1,2,2004,,,,,73.3,-35.4,3
2,盐田区,440308,4403,1,3,2014,,,,,0.0,-50.3,0
2,福田区,440304,4403,12,219,2015,35818,36.0,-65.15,,84.6,18.8,10
2,罗湖区,440303,4403,6,7,2017,41662,100.0,,,90.3,-46.3,6
2,龙华区,440309,4403,4,57,2013,40107,100.0,-41.25,,82.7,-19.2,4
2,龙岗区,440307,4403,8,120,2013,43414,89.9,-25.36,,0.0,-33.6,0
3,斗门区,440403,4404,2,112,2015,17450,101.7,1.59,,72.1,-41.6,1
3,金湾区,440404,4404,0,0,,,,,,,,0
3,香洲区,440402,4404,3,153,2016,34134,98.0,-3.34,,81.9,14.2,6
