community_id,city_id,district_name,community_name,mall_near,park_near,subway_near,school_near,hospital_near,market_near,score,score100
1,2,南山区,华润城润府,25,15,20,10,15,20,105,95.5
2,2,南山区,深圳湾科技城,20,15,15,7,10,20,87,79.1
3,2,南山区,熙璟城,25,10,0,7,10,20,72,65.5
4,2,福田区,京基100,25,15,25,10,15,20,110,100.0
5,2,福田区,水围村,25,15,15,10,15,20,100,90.9
6,2,龙华区,鸿荣源壹城中心,25,15,20,10,15,20,105,95.5
7,2,龙岗区,中海天钻,25,10,25,10,15,20,105,95.5
8,2,龙岗区,万科城,20,15,15,10,15,20,95,86.4
9,2,福田区,海月花园,25,15,20,10,15,20,105,95.5
10,2,福田区,深业上城,20,15,15,7,15,20,92,83.6
11,1,天河区,侨鑫汇景新城,25,10,0,4,10,20,69,62.7
12,1,天河区,珠江帝景苑,25,15,15,10,15,20,100,90.9
13,1,越秀区,越秀公园东门,25,10,15,10,15,20,95,86.4
14,1,越秀区,北京路名宅,25,10,25,10,15,20,105,95.5
15,1,海珠区,保利天悦,25,15,15,4,15,20,94,85.5
16,1,海珠区,广州塔江景花园,25,15,15,10,15,20,100,90.9
17,1,番禺区,万科四季花城,20,0,0,7,15,15,57,51.8
18,1,番禺区,碧桂园凤凰城,20,5,0,10,10,20,65,59.1
19,3,香洲区,中信红树湾,25,15,0,10,15,20,85,77.3
20,3,香洲区,华发新城,25,10,0,10,15,15,75,68.2
21,3,斗门区,珠海万科城,25,15,0,10,15,20,85,77.3
22,3,斗门区,世荣作品一号,20,15,0,7,10,20,72,65.5
23,3,香洲区,格力海岸,20,15,0,10,10,20,75,68.2
24,2,福田区,中核集团宿舍,20,15,0,4,15,20,74,67.3
25,2,龙岗区,星河智荟,25,10,15,7,10,20,87,79.1
26,2,龙岗区,信义金御半山三期,25,15,20,7,15,20,102,92.7
27,2,宝安区,联投东方华府一期,25,15,0,10,15,20,85,77.3
28,2,龙岗区,鹏华世家华府,25,10,20,7,15,20,97,88.2
29,2,罗湖区,凤凰路166号大院,25,15,25,10,15,20,110,100.0
30,2,坪山区,豪方东园,25,10,20,10,10,15,90,81.8
31,2,盐田区,诗宁别墅,25,15,15,10,15,20,100,90.9
32,2,罗湖区,童乐路综合楼7号楼,0,0,0,0,0,0,0,0.0
33,2,福田区,海外装饰大厦,25,15,20,7,15,20,102,92.7
34,2,大鹏新区,凯旋湾花园三期,20,15,5,7,15,20,82,74.5
35,2,罗湖区,笋岗仓库综合楼,25,15,20,10,15,20,105,95.5
36,2,龙华区,英伦国际公寓,0,0,0,0,0,0,0,0.0
37,2,龙华区,1970文化创意产业园,0,0,0,0,0,0,0,0.0
38,2,龙华区,尚品雅居,25,15,0,4,5,20,69,62.7
39,2,龙岗区,聚福大厦,25,10,20,10,15,20,100,90.9
40,2,福田区,南溪商住楼,25,15,20,10,15,20,105,95.5
41,2,南山区,东怡楼,25,15,20,10,15,20,105,95.5
42,2,福田区,中心村东区,25,15,20,10,15,20,105,95.5
43,2,坪山区,科技楼,25,15,20,10,15,20,105,95.5
44,2,龙岗区,横岗保障房,10,15,15,10,15,20,85,77.3
45,2,福田区,华康大厦,25,15,20,7,15,20,102,92.7
46,2,福田区,振华路42号,25,15,25,10,15,20,110,100.0
47,2,福田区,云中大厦,25,15,20,10,15,20,105,95.5
48,2,龙岗区,清林中路6号,25,15,5,7,10,20,82,74.5
49,2,罗湖区,边检一大院2期,25,15,20,10,15,20,105,95.5
50,2,福田区,梅林街道文化站,25,15,15,10,15,20,100,90.9
51,2,罗湖区,笋岗村183号,25,15,20,10,15,20,105,95.5
52,2,罗湖区,北站路23号,20,15,15,10,15,20,95,86.4
