listing_id,city_id,community_id,title,source,source_listing_id,source_url,total_price_10k,unit_price,area_sqm,listing_type,bedrooms,bathrooms,orientation,floor_number,has_elevator,decorate_type,build_year,nearest_metro_distance_m,school_ids_json,tags_json,crawl_date
1,2,1,华润城润府 105㎡ 南北通透,深圳住建局公开成交,深圳-LS-000001,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1023,96873,105.6,二手房,4,1,南,高楼层,True,豪装,2008,2000,[],[],2026-06-29
2,2,1,华润城润府 97㎡ 北向,深圳住建局公开成交,深圳-LS-000002,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1069,109731,97.5,二手房,3,1,南,顶层,True,豪装,2012,200,[],[],2026-06-29
3,2,1,华润城润府 88㎡ 南北通透,深圳住建局公开成交,深圳-LS-000003,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,842,95182,88.5,二手房,3,2,东南,中楼层,False,精装,2015,2000,[],[],2026-06-22
4,2,1,华润城润府 100㎡ 北向,深圳住建局公开成交,深圳-LS-000004,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1036,103113,100.5,二手房,3,1,南北通透,顶层,True,普装,2008,800,[],[],2026-06-15
5,2,1,华润城润府 114㎡ 北向,深圳住建局公开成交,深圳-LS-000005,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1060,92469,114.7,二手房,3,2,东南,低楼层,True,精装,2019,1200,[],[],2026-06-15
6,2,1,华润城润府 93㎡ 南向,深圳住建局公开成交,深圳-LS-000006,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,818,87333,93.7,二手房,4,1,西,低楼层,False,精装,2006,1200,[],[],2026-06-15
7,2,1,华润城润府 73㎡ 南向,深圳住建局公开成交,深圳-LS-000007,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,703,95603,73.6,二手房,4,2,南,高楼层,True,普装,2011,400,[],[],2026-06-08
8,2,1,华润城润府 103㎡ 南北通透,深圳住建局公开成交,深圳-LS-000008,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1143,110649,103.3,二手房,3,2,南北通透,低楼层,True,毛坯,2013,800,[],[],2026-06-01
9,2,1,华润城润府 128㎡ 北向,深圳住建局公开成交,深圳-LS-000009,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1323,103045,128.5,二手房,4,1,西,中楼层,True,精装,2005,800,[],[],2026-05-25
10,2,1,华润城润府 129㎡ 南北通透,深圳住建局公开成交,深圳-LS-000010,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1392,107917,129.0,二手房,2,1,南北通透,高楼层,True,毛坯,2013,600,[],[],2026-05-18
11,2,1,华润城润府 77㎡ 南北通透,深圳住建局公开成交,深圳-LS-000011,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,849,109239,77.8,二手房,3,2,东南,高楼层,False,精装,2011,400,[],[],2026-05-18
