month,lpr_1y,lpr_5y,mortgage_first,mortgage_second,source
2019-08,4.25,4.85,4.9,5.2,PBOC公开公告
2019-09,4.2,4.85,4.9,5.2,PBOC公开公告
2019-10,4.2,4.85,4.9,5.2,PBOC公开公告
2019-11,4.15,4.8,4.85,5.15,PBOC公开公告
2019-12,4.15,4.8,4.85,5.15,PBOC公开公告
2020-01,4.15,4.8,4.85,5.15,PBOC公开公告
2020-02,4.05,4.75,4.8,5.1,PBOC公开公告
2020-03,4.05,4.75,4.55,5.1,PBOC公开公告
2020-04,3.85,4.65,4.45,5.0,PBOC公开公告
2020-05,3.85,4.65,4.45,5.0,PBOC公开公告
2020-06,3.85,4.65,4.45,5.0,PBOC公开公告
2020-07,3.85,4.65,4.45,5.0,PBOC公开公告
2020-08,3.85,4.65,4.45,5.0,PBOC公开公告
2020-09,3.85,4.65,4.45,5.0,PBOC公开公告
2020-10,3.85,4.65,4.45,5.0,PBOC公开公告
2020-11,3.85,4.65,4.45,5.0,PBOC公开公告
2020-12,3.85,4.65,4.45,5.0,PBOC公开公告
2021-01,3.85,4.65,4.45,5.0,PBOC公开公告
2021-02,3.85,4.65,4.45,5.0,PBOC公开公告
2021-03,3.85,4.65,4.45,5.0,PBOC公开公告
2021-04,3.85,4.65,4.45,5.0,PBOC公开公告
2021-05,3.85,4.65,4.45,5.0,PBOC公开公告
2021-06,3.85,4.65,4.45,5.0,PBOC公开公告
2021-07,3.85,4.65,4.45,5.0,PBOC公开公告
2021-08,3.85,4.65,4.45,5.0,PBOC公开公告
2021-09,3.85,4.65,4.45,5.0,PBOC公开公告
2021-10,3.85,4.65,4.45,5.0,PBOC公开公告
2021-11,3.85,4.65,4.45,5.0,PBOC公开公告
2021-12,3.8,4.65,4.45,5.0,PBOC公开公告
2022-01,3.7,4.6,4.4,4.95,PBOC公开公告
2022-02,3.7,4.6,4.4,4.95,PBOC公开公告
2022-03,3.7,4.6,4.4,4.95,PBOC公开公告
2022-04,3.7,4.6,4.4,4.95,PBOC公开公告
2022-05,3.7,4.45,4.25,4.8,PBOC公开公告
2022-06,3.7,4.45,4.25,4.8,PBOC公开公告
2022-07,3.7,4.45,4.25,4.8,PBOC公开公告
2022-08,3.65,4.3,4.1,4.65,PBOC公开公告
2022-09,3.65,4.3,4.1,4.65,PBOC公开公告
2022-10,3.65,4.3,4.1,4.65,PBOC公开公告
2022-11,3.65,4.3,4.1,4.65,PBOC公开公告
2022-12,3.65,4.3,4.1,4.65,PBOC公开公告
2023-01,3.65,4.3,4.1,4.65,PBOC公开公告
2023-02,3.65,4.3,4.1,4.65,PBOC公开公告
2023-03,3.65,4.3,4.1,4.65,PBOC公开公告
2023-04,3.65,4.3,4.1,4.65,PBOC公开公告
2023-05,3.65,4.3,4.1,4.65,PBOC公开公告
2023-06,3.55,4.2,4.0,4.55,PBOC公开公告
2023-07,3.55,4.2,4.0,4.55,PBOC公开公告
2023-08,3.45,4.2,4.0,4.55,PBOC公开公告
2023-09,3.45,4.2,4.0,4.55,PBOC公开公告
2023-10,3.45,4.2,4.0,4.55,PBOC公开公告
2023-11,3.45,4.2,4.0,4.55,PBOC公开公告
2023-12,3.45,4.2,4.0,4.55,PBOC公开公告
2024-01,3.45,4.2,3.9,4.55,PBOC公开公告
2024-02,3.45,3.95,3.65,4.3,PBOC公开公告
2024-03,3.45,3.95,3.65,4.3,PBOC公开公告
2024-04,3.45,3.95,3.65,4.3,PBOC公开公告
2024-05,3.45,3.95,3.65,4.3,PBOC公开公告
2024-06,3.45,3.95,3.65,4.3,PBOC公开公告
2024-07,3.35,3.85,3.55,4.2,PBOC公开公告
2024-08,3.35,3.85,3.55,4.2,PBOC公开公告
2024-09,3.35,3.85,3.55,4.2,PBOC公开公告
2024-10,3.1,3.6,3.3,3.95,PBOC公开公告
2024-11,3.1,3.6,3.3,3.95,PBOC公开公告
2024-12,3.1,3.6,3.3,3.95,PBOC公开公告
2025-01,3.1,3.6,3.3,3.95,PBOC公开公告
2025-02,3.1,3.6,3.3,3.95,PBOC公开公告
2025-03,3.1,3.6,3.3,3.95,PBOC公开公告
2025-04,3.0,3.5,3.2,3.85,PBOC公开公告
2025-05,3.0,3.5,3.2,3.85,PBOC公开公告
2025-06,3.0,3.5,3.2,3.85,PBOC公开公告
2025-07,3.0,3.5,3.2,3.85,PBOC公开公告
2025-08,3.0,3.5,3.2,3.85,PBOC公开公告
2025-09,3.0,3.5,3.2,3.85,PBOC公开公告
2025-10,3.0,3.5,3.2,3.85,PBOC公开公告
2025-11,3.0,3.5,3.2,3.85,PBOC公开公告
2025-12,3.0,3.5,3.2,3.85,PBOC公开公告
2026-01,3.0,3.5,3.2,3.85,PBOC公开公告
2026-02,3.0,3.5,3.2,3.85,PBOC公开公告
2026-03,3.0,3.5,3.2,3.85,PBOC公开公告
2026-04,3.0,3.5,3.2,3.85,PBOC公开公告
2026-05,3.0,3.5,3.2,3.85,PBOC公开公告
2026-06,3.0,3.5,3.2,3.85,PBOC公开公告
