period,label,sf_stock_wan_yi,sf_stock_yoy_pct,sf_flow_ytd_wan_yi,m2_wan_yi,m2_yoy_pct,m1_wan_yi,m1_yoy_pct,rmb_loan_ytd_wan_yi,hh_loan_ytd_yi,hh_ml_loan_ytd_yi,ib_repo_pct,forex_usd_wan_yi,usd_cny,source_url
2026-06,2026年上半年,462.06,7.4,20.84,356.71,8,118.48,4,10.76,-3668,2212,1.43,3.42,6.8109,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026071515025183948/index.html
2026-05,2026年5月,458.81,7.7,17.48,353.67,8.6,114.89,5.5,9,-6314,628,1.33,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026061217051611931/index.html
2026-04,2026年4月,456.89,7.8,15.45,353.04,8.6,114.58,5,8.5,-4902,1199,1.31,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051417030520490/index.html
2026-03,2026年一季度,456.46,7.9,14.83,353.86,8.5,119.32,5.1,8.9,2967,4607,1.4,3.34,6.9194,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026041317011944771/index.html
2026-02,2026年2月,451.4,8.2,9.6,349.22,9,115.93,5.9,5.75,-1942,1654,1.44,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026031317020260950/index.html
2026-01,2026年1月,449.11,8.2,,347.19,9,117.97,4.9,4.9,4565,3469,1.43,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026021317031040775/index.html
2025-12,2025年全年,442.12,8.3,35.6,340.29,8.5,115.51,3.8,15.91,4417,12800,1.4,3.36,7.0288,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026011515015720511/index.html
2025-11,2025年11月,440.07,8.5,33.39,336.99,8,112.89,4.9,14.93,5333,12700,1.44,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2025121217132789688/index.html
2025-10,2025年10月,437.72,8.5,30.9,335.13,8.2,112,6.2,14.52,7396,12600,1.4,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/f294561578884c22878d115780ba7c08/index.html
2025-09,2025年前三季度,437.08,8.7,30.09,335.38,8.4,113.15,7.2,14.54,11000,13300,1.46,3.34,7.1055,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/dded7449c74144a19171f582bec9ed36/index.html
2025-08,2025年8月,,,,331.98,8.8,111.23,6,13.46,7110,10800,1.41,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/e3120f58ec724fe1811d9dadf67232d2/index.html
2025-07,2025年7月,,,,329.94,8.8,111.06,5.6,12.87,6807,10600,1.46,,,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2972dbe4d53540e5a9d0b5781c71480d/index.html
