period,label,region,sf_flow_yi,rmb_loan_yi,corp_bond_yi,gov_bond_yi,equity_yi,source_url,xlsx_url
2026-03,2026年一季度,浙江,15432,10674,719,2182,148,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/2026051115380863435.xlsx
2026-03,2026年一季度,江苏,23288,17840,748,2392,114,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/2026051115380863435.xlsx
2026-03,2026年一季度,广东,11184,7252,1523,2423,170,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/2026051115380863435.xlsx
2026-03,2026年一季度,北京,6488,2612,3373,358,158,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/2026051115380863435.xlsx
2026-03,2026年一季度,上海,4743,3495,988,454,108,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026051115390846961/2026051115380863435.xlsx
2025-12,2025年全年,浙江,28970,19060,503,4793,548,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/2026020709562126120.xlsx
2025-12,2025年全年,江苏,32019,23869,-81,5701,511,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/2026020709562126120.xlsx
2025-12,2025年全年,广东,27782,14026,2694,6163,845,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/2026020709562126120.xlsx
2025-12,2025年全年,北京,18984,6089,11217,1355,567,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/2026020709562126120.xlsx
2025-12,2025年全年,上海,11632,6589,1543,1329,547,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/2026020709570828806/2026020709562126120.xlsx
2025-09,2025年前三季度,浙江,25312,17615,205,4150,445,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/2025111115423898463.xlsx
2025-09,2025年前三季度,江苏,29927,23095,-195,5319,337,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/2025111115423898463.xlsx
2025-09,2025年前三季度,广东,23898,14237,1849,5242,531,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/2025111115423898463.xlsx
2025-09,2025年前三季度,北京,15661,5317,8484,1188,360,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/2025111115423898463.xlsx
2025-09,2025年前三季度,上海,10468,5340,1460,1122,253,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5897233/2025111115423898463.xlsx
2025-06,2025年上半年,浙江,18996,15341,43,2291,245,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/2025081914105236117.xlsx
2025-06,2025年上半年,江苏,26258,20864,-157,4572,187,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/2025081914105236117.xlsx
2025-06,2025年上半年,广东,15727,11006,1537,2746,279,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/2025081914105236117.xlsx
2025-06,2025年上半年,北京,14177,5380,7148,1353,238,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/2025081914105236117.xlsx
2025-06,2025年上半年,上海,8419,5108,1026,1444,142,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/index.html,http://www.pbc.gov.cn/diaochatongjisi/116219/116225/5814151/2025081914105236117.xlsx
