community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
1,restaurant,1,四季椰林椰子鸡(深圳万象天地店),餐饮服务;餐饮相关场所;餐饮相关,165,22.542480,113.954464,粤海街道深南大道华润置地大厦D座L3层NL301商铺
1,restaurant,2,深圳市天地新京熹餐饮有限公司,公司企业;公司;公司,177,22.542675,113.955625,大冲二路与科发路交叉口东南40米
1,restaurant,3,深圳聚苑餐饮管理有限公司,公司企业;公司;公司,220,22.542102,113.953857,铜鼓路39号大冲国际中心
1,bank,1,中国农业银行24小时自助银行(深圳华润城支行),金融保险服务;自动提款机;中国农业银行ATM,52,22.543862,113.955111,大冲二路华润城润府-二期
1,bank,2,中国农业银行(深圳华润城支行),金融保险服务;银行;中国农业银行,53,22.543852,113.955120,大冲二路润府二期华润城商铺122号
1,bank,3,中国工商银行(深圳华润城支行),金融保险服务;银行;中国工商银行,98,22.543121,113.954299,铜鼓路56号华润城润府二期1层113-115
1,convenience,1,7-ELEVEn(华润城润府店),购物服务;便民商店/便利店;7-ELEVEn便利店,72,22.543469,113.955074,大冲二路1-5号(高新园地铁站A口步行370米)
1,convenience,2,喜友社交便利店(万象天地店),购物服务;便民商店/便利店;便民商店/便利店,111,22.542956,113.954675,粤海街道大冲社区华润城润府二期101
1,convenience,3,都市便利店(大冲都市花园店),购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,120,22.543483,113.953554,ccity-E馆(高新园地铁站B口步行390米)
2,restaurant,1,深圳市膳享餐饮管理有限公司,公司企业;公司;公司,172,22.529325,113.952825,高新南九道与高新南环路交叉口东南60米
2,restaurant,2,深圳市钱塘潮餐饮管理有限公司,公司企业;公司;公司|餐饮服务;中餐厅;中餐厅,172,22.529325,113.952825,高新南九道与高新南环路交叉口东南60米
2,restaurant,3,深圳市渝月威新餐饮管理有限公司,公司企业;公司;公司,197,22.528330,113.952096,高新南十道16号金地威新中心
2,bank,1,中信银行(深圳海湾支行),金融保险服务;银行;中信银行,151,22.527480,113.952789,高新南十道深圳湾科技生态园1栋A座与B座1层
2,bank,2,中信银行24小时自助银行(深圳海湾支行),金融保险服务;自动提款机;中信银行ATM,155,22.527365,113.952831,高新南环路深圳湾科技生态园
2,bank,3,浙商银行(高新支行),金融保险服务;银行;银行,160,22.528736,113.952551,沙河西路深圳湾生态园5栋一层
2,convenience,1,7-Eleven小食堂(生态园5栋店),购物服务;便民商店/便利店;7-ELEVEn便利店,146,22.529218,113.953071,高新南十道生态园5栋01层17/18
2,convenience,2,广东赛壹便利店有限公司深圳第五十九分店,购物服务;便民商店/便利店;便民商店/便利店,199,22.529952,113.953463,科技生态园11栋(高新南地铁站B2出口步行480米)
2,convenience,3,佳能量便利店(生态科技园店),购物服务;便民商店/便利店;便民商店/便利店,326,22.530499,113.951997,深圳湾科技生态园10栋B座1楼138铺(霸碗盖码饭旁)
3,restaurant,1,汇展餐饮管理有限公司,公司企业;公司;公司,261,22.679430,114.135847,国际电商物流中心
3,restaurant,2,西周记餐饮管理有限公司,公司企业;公司;公司,483,22.677571,114.135000,平湖民福路与平安大道交叉口西220米
3,restaurant,3,里餐饮管理有限公司,公司企业;公司企业;公司企业,792,22.688863,114.136070,平湖大街与大和路交叉口东北40米
3,bank,1,中国邮政储蓄银行(富民营业所),金融保险服务;银行;中国邮政储蓄银行,224,22.679843,114.135560,平湖街道平安大道3号铁东物流区11栋102
3,bank,2,深圳福田深通村镇银行(平湖支行),金融保险服务;银行;银行,253,22.682116,114.133843,平安大道1号华南铁东物流区14栋1-34号
3,bank,3,中国邮政储蓄银行华南城支行,金融保险服务;银行;中国邮政储蓄银行,647,22.680097,114.130232,华南城2号交易广场1层
3,convenience,1,易站熙璟城尚车坊隔壁,汽车服务;汽车养护/装饰;汽车养护|购物服务;便民商店/便利店;便民商店/便利店,106,22.680920,114.135764,平湖街道富安大道与平安大道交汇处熙璟城商铺一楼
3,convenience,2,华润万家便利超市(熙璟城购物中心店),购物服务;超级市场;华润|购物服务;便民商店/便利店;便民商店/便利店,107,22.682527,114.136895,平湖街道平湖社区富安街100号熙璟城184
3,convenience,3,美宜佳(熙璟城店),购物服务;便民商店/便利店;便民商店/便利店,124,22.682190,114.137389,富安大道100号熙璟城购物中心F2层
4,restaurant,1,悦来悦好餐饮管理有限公司,公司企业;公司;公司,136,22.544875,114.113225,桂园路与解放路交叉口北60米
4,restaurant,2,麓湘味道·湖南下饭菜·乡野食材(罗湖店),餐饮服务;中餐厅;中餐厅,188,22.544478,114.112862,解放路3034号湖北宾馆F5二楼东铺
4,restaurant,3,深圳市鑫旺达餐饮有限公司,公司企业;公司;公司,221,22.543291,114.114604,鸿隆世纪广场B座(写字楼)
4,bank,1,中国工商银行(深圳桂园支行),金融保险服务;银行;中国工商银行,180,22.546273,114.113094,桂园路28号1层
4,bank,2,深圳桂园支行,金融保险服务;银行;银行,182,22.546225,114.113025,河边北路与解放路交叉口西北200米
4,bank,3,中国工商银行24小时自助银行(深圳桂园支行),金融保险服务;自动提款机;中国工商银行ATM,196,22.546333,114.112940,桂园路28号
4,convenience,1,壹佳便利店,购物服务;便民商店/便利店;便民商店/便利店,145,22.543966,114.114473,茂业奥特莱斯东南门旁
4,convenience,2,美宜佳(桂园店),购物服务;便民商店/便利店;便民商店/便利店,148,22.544794,114.113131,民治街道民强社区东边老村24栋102
4,convenience,3,兴顺发商行(桂木园店),购物服务;便民商店/便利店;便民商店/便利店,163,22.546421,114.113478,桂园街道桂园路141号桂木园
5,restaurant,1,红树林餐饮管理(深圳)有限公司,公司企业;公司;公司,55,22.621725,114.037675,民旺路与沿河南路交叉口东20米
5,restaurant,2,小小吴姐餐饮店,餐饮服务;餐饮相关场所;餐饮相关,84,22.621425,114.037975,向南商业步行街与迎宾路交叉口西20米
5,restaurant,3,深圳市榴小汐餐饮管理有限公司,公司企业;公司;公司,93,22.621925,114.037025,民旺路与向南一区二巷交叉口东北20米
5,bank,1,中国邮政储蓄银行(民治营业所),金融保险服务;银行;中国邮政储蓄银行,235,22.621852,114.035626,民治街道民福北路65号深宝茂大厦一楼
5,bank,2,中国邮政储蓄银行24小时自助银行(深圳民治支行),金融保险服务;自动提款机;中国邮政储蓄银行ATM,268,22.621403,114.035409,宝民路88号
5,bank,3,中国农业银行24小时自助银行(民治支行),金融保险服务;自动提款机;中国农业银行ATM,371,22.625395,114.038868,民治大道345号汇宝江大厦1层
5,convenience,1,易站便利店(民旺路店),购物服务;便民商店/便利店;便民商店/便利店,40,22.621983,114.037556,塘水围一区西南门旁
5,convenience,2,巷子尾便利店,购物服务;便民商店/便利店;便民商店/便利店,59,22.622375,114.038425,民治街道东边老村6栋6-9
5,convenience,3,旺角便利店,购物服务;便民商店/便利店;便民商店/便利店,80,22.621575,114.037457,沿河南路与民旺路交叉口南20米
6,restaurant,1,深圳鑫晟阳供应链餐饮管理有限公司,公司企业;公司;公司,79,22.645975,114.030925,鸿荣路与鸿光路交叉口东北80米
6,restaurant,2,星咖餐饮管理有限公司,公司企业;公司;公司,188,22.648275,114.030925,鸿尚路与鸿创路交叉口西南40米
6,restaurant,3,帝碗盖码饭(龙华壹成中心店),餐饮服务;快餐厅;快餐厅,227,22.648627,114.031672,鸿荣源·壹成中心第七区西北门东北130米
6,bank,1,浙商银行(深圳龙华支行),金融保险服务;银行;银行,152,22.645325,114.030750,壹成中心璞誉府2栋1层117-124
6,bank,2,上海浦东发展银行(龙胜支行),金融保险服务;银行;上海浦东发展银行,182,22.648240,114.031002,壹成中心7区4栋A座
6,bank,3,上海浦东发展银行24小时自助银行(龙胜支行),金融保险服务;自动提款机;上海浦东发展银行ATM,186,22.648242,114.030831,鸿尚路与鸿创路交叉口西南40米
6,convenience,1,火星便利店,购物服务;便民商店/便利店;便民商店/便利店,49,22.646875,114.030875,龙华街道景新社区鸿光路42号壹成中心第七区
