community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
1,market,1,钱大妈(华润城润府店),购物服务;综合市场;农副产品市场,69,22.543475,113.954175,粤海街道铜鼓路大冲润府二期郡楼105铺
1,market,2,梁记蔬菜(C.City商场科苑西住宅小区店),购物服务;综合市场;蔬菜市场,129,22.543861,113.953348,大冲都市花园二楼大冲街市
1,market,3,钱大妈(华润城润府3期店),购物服务;综合市场;农副产品市场,284,22.546467,113.954098,铜鼓路与金铜路交叉口南120米
2,market,1,湾畔星光市集,购物服务;购物相关场所;购物相关场所,243,22.530346,113.953383,粤海街道沙河西路1815号深圳湾科技生态园B1
2,market,2,合家乐生鲜超市(阳光带海滨城锦缎之滨店),购物服务;购物相关场所;购物相关场所,397,22.524903,113.952624,高新南环路18-7号
2,market,3,钱大妈(滨福世纪店),购物服务;综合市场;农副产品市场,581,22.525185,113.949428,滨福世纪广场A单元北门旁(科苑地铁站B口步行440米)
3,market,1,钱大妈(熙璟城店),购物服务;综合市场;农副产品市场,87,22.681280,114.135591,富安大道100号熙璟城购物中心F1层
3,market,2,天天生鲜菜店,购物服务;综合市场;农副产品市场,411,22.678093,114.136860,乐扬电机深圳有限公司东南门东50米
3,market,3,猫果果生鲜,购物服务;购物相关场所;购物相关场所,543,22.680432,114.131180,华南国际纺织服装原辅料物流区二期b1a119
4,market,1,钱大妈(桂花大厦店),购物服务;综合市场;农副产品市场,270,22.547211,114.112891,桂园路46号桂花大厦F1层
4,market,2,优点生鲜(桂园路店),购物服务;综合市场;农副产品市场,441,22.548810,114.112537,桂园路70号
4,market,3,明华楼广场批发市场,购物服务;综合市场;综合市场,503,22.547049,114.118984,二横街步行街与步行街交叉口东北40米
5,market,1,叮咚买菜(民治店),购物服务;综合市场;蔬菜市场,88,22.621402,114.038033,民治第一工业区14栋
5,market,2,美团买菜(华洋商城店),购物服务;综合市场;农副产品市场,117,22.621325,114.037225,民旺路79号华洋商城F1层
5,market,3,生鲜鱼肉店,购物服务;综合市场;农副产品市场,267,22.619861,114.037216,东边新村2区东南门旁
6,market,1,钱大妈(壹成中心店),购物服务;综合市场;农副产品市场,164,22.648041,114.031697,壹成中心第六区西门鸿创路43号
6,market,2,钱大妈,购物服务;综合市场;农副产品市场,171,22.645785,114.032668,鸿荣源·壹成中心璞誉府东北门旁
6,market,3,嘉裕优选生鲜,购物服务;购物相关场所;购物相关场所,226,22.647588,114.033195,龙华街道景新社区鸿创路77号壹成中心第六区
7,market,1,钱大妈(中海·鹿丹名苑店),购物服务;综合市场;农副产品市场,69,22.534550,114.107160,金塘街中海名苑6-104
7,market,2,钱大妈(巴登村店),购物服务;购物相关场所;购物相关场所,717,22.537652,114.101240,东园路62-64号
7,market,3,金龙蔬菜行(埔尾康乐楼店),购物服务;综合市场;蔬菜市场,763,22.538075,114.101025,巴登村34栋一楼(红岭南地铁站E口步行500米)
8,market,1,新农田有机蔬菜(万科城店),购物服务;综合市场;蔬菜市场,264,22.643349,114.070374,万科城风情商业街C8栋
8,market,2,腾达买菜,购物服务;综合市场;蔬菜市场,453,22.644025,114.075175,新天下大厦
8,market,3,卿外平价生鲜配送中心,购物服务;综合市场;农副产品市场,637,22.645291,114.064921,新禧路与居里夫人大道交叉口东80米
9,market,1,钱大妈(海月店),购物服务;综合市场;农副产品市场,127,22.501654,113.935235,海月路海月华庭二期24A1-2商铺
9,market,2,秦记鲜生生活超市(半岛花园A区店),购物服务;购物相关场所;购物相关场所,285,22.499733,113.934663,工业八路155号半岛花园A区9栋
9,market,3,健康三鸟行(近海路80号小区店),购物服务;综合市场;农副产品市场,298,22.503518,113.931624,近海路80号近海路80号小区
10,market,1,汇家百货生鲜超市(龙塘店),购物服务;综合市场;果品市场|购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,215,22.634995,114.008568,民治街道长城里程家园小区门口12号13号商铺
10,market,2,大大生鲜超市(中海汇德理店),购物服务;综合市场;农副产品市场,382,22.635825,114.010425,新区大道580号中海汇德理
10,market,3,中海汇德理小马生鲜超市,购物服务;综合市场;农副产品市场,459,22.636025,114.011325,龙华区中海汇德理1056号商铺
11,market,1,丰悦生鲜超市(亚太盛汇店),购物服务;便民商店/便利店;便民商店/便利店,252,23.150473,113.368196,汇景新城c3街区B1层32号之2号
11,market,2,优鲜汇生鲜超市(汇景店),购物服务;综合市场;农副产品市场,267,23.149540,113.367791,汇景新城汇景北路74号C2负二层107号铺
11,market,3,鲜百味生鲜超市(亚太盛汇店),购物服务;综合市场;农副产品市场,306,23.148859,113.367480,汇景南路67号
