community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
1,subway,1,高新园(地铁站),交通设施服务;地铁站;地铁站,421,22.540236,113.953842,(在建)20号线二期;1号线/罗宝线
1,subway,2,高新中(地铁站),交通设施服务;地铁站;地铁站,1013,22.547012,113.945319,13号线/石岩线
1,subway,3,深大(地铁站),交通设施服务;地铁站;地铁站,1223,22.538667,113.944173,(在建)20号线二期;13号线/石岩线;1号线/罗宝线
1,school,1,南山外国语学校(集团)科华学校小学部,科教文化服务;学校;小学,448,22.546710,113.957796,莱英路红树别院
1,school,2,鑫辉餐饮海滨小学六(6)班,科教文化服务;科教文化场所;科教文化场所,964,22.550665,113.948676,科丰路2号特发信息港大厦F1层
1,school,3,中建科工高新小学项目施工现场,公司企业;公司;公司,1142,22.534597,113.950060,科技南路24号(高新南地铁站D口步行250米)
1,hospital,1,深圳市南山区医疗集团总部,医疗保健服务;医疗保健服务场所;医疗保健服务场所,55,22.544064,113.954085,铜鼓路28-18号(高新园地铁站A口步行480米)
1,mall,1,c.city-E馆,购物服务;商场;普通商场,137,22.543776,113.953283,粤海街道铜鼓路55号大冲都市花园L1-L2层
1,mall,2,大冲都市花园商场,购物服务;商场;商场|生活服务;生活服务场所;生活服务场所,156,22.543076,113.953422,铜鼓路大冲都市花园(高新园地铁站B口步行310米)
1,mall,3,深圳万象天地,购物服务;商场;购物中心,271,22.541865,113.955960,粤海街道大冲社区深南大道9668号
1,park,1,水滴花园(深圳万象天地),风景名胜;公园广场;公园,319,22.541343,113.955896,科发路19号深圳万象天地L4层
1,park,2,大沙河生态长廊绿道,风景名胜;风景名胜相关;旅游景点,667,22.539934,113.959416,沙河西路辅路与深南沙河立交交叉口北40米
1,park,3,科苑公园,风景名胜;公园广场;公园,770,22.549101,113.949591,科苑花园58区
2,subway,1,高新南(地铁站),交通设施服务;地铁站;地铁站,654,22.532797,113.950000,9号线/梅林线
2,subway,2,科苑(地铁站),交通设施服务;地铁站;地铁站,815,22.527019,113.946195,13号线/石岩线;2号线(8号线)
2,subway,3,粤海门(地铁站),交通设施服务;地铁站;地铁站,948,22.531821,113.945645,13号线/石岩线;9号线/梅林线
2,school,1,深圳市南山外国语学校(集团)科苑小学,科教文化服务;学校;小学,736,22.523514,113.948995,高新南环路69号(科苑地铁站E1口步行370米)
2,school,2,深圳南山外国语学校(集团)高新小学,科教文化服务;学校;小学,762,22.534298,113.950568,科技南路22-1号(高新南地铁站D口步行220米)
2,school,3,中建科工高新小学项目施工现场,公司企业;公司;公司,816,22.534597,113.950060,科技南路24号(高新南地铁站D口步行250米)
2,hospital,1,纳贝医生运动康复中心(深圳湾店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,1365,22.517362,113.947869,滨海大道3001号深圳湾体育中心
2,mall,1,安邻荟商场,购物服务;超级市场;超市,637,22.533325,113.951175,高新安荟邻(高新南地铁站D口旁)
2,mall,2,高新安荟邻,购物服务;商场;商场,660,22.533505,113.951072,科技南八路与白石路交叉口西北60米
2,mall,3,荟食广场,购物服务;商场;普通商场,984,22.537029,113.952973,创维半导体设计大厦裙楼B1层106F2
2,park,1,大沙河生态长廊绿道-紫花风铃木,风景名胜;风景名胜相关;旅游景点,282,22.530049,113.955946,沙河西路辅路与高新南九道交叉口东140米
2,park,2,滨福广场街心小公园,风景名胜;公园广场;公园,541,22.525369,113.949761,科技南路7-6号滨福世纪广场
2,park,3,云之园,风景名胜;公园广场;公园,619,22.531938,113.949525,科技南路(高新南地铁站A口步行190米)
3,school,1,深圳大学附属华南学校,科教文化服务;学校;中学,879,22.681576,114.144832,平湖街道万福路33号
3,school,2,平湖中心学校,科教文化服务;学校;中学,928,22.689295,114.132430,平湖街道新南社区新南路1号
3,school,3,平湖守真小学,科教文化服务;学校;小学,1327,22.690324,114.127299,平湖街道上大街2号(平湖地铁站A口步行360米)
3,hospital,1,暨南大学附属深圳华侨医院住院部,医疗保健服务;综合医院;综合医院,1001,22.687160,114.144067,湖新路1号暨南大学附属深圳华侨医院内
3,hospital,2,深圳华侨医院,医疗保健服务;综合医院;综合医院,1007,22.687501,114.143853,平湖镇湖新街1号
3,hospital,3,深圳大学附属华南医院,医疗保健服务;综合医院;综合医院,1156,22.674359,114.144189,平湖街道福新街1号
3,mall,1,熙璟城购物中心,购物服务;商场;购物中心,9,22.681828,114.136317,富安大道100号
3,mall,2,优品谷(熙璟城购物中心店),购物服务;专卖店;烟酒专卖店,76,22.682415,114.136085,富安大道100号熙璟城购物中心F1层
3,mall,3,平湖酒店用品城C区,商务住宅;商务住宅相关;商务住宅相关,233,22.679699,114.136765,平安大道6号
3,park,1,平湖匠作主题公园,风景名胜;公园广场;公园,687,22.676195,114.139197,平安大道与民安路交叉口东40米
3,park,2,户外花园,风景名胜;公园广场;公园,774,22.682475,114.128775,富安大道18号亚钢1号
4,subway,1,老街(地铁站),交通设施服务;地铁站;地铁站,211,22.544301,114.116241,(在建)17号线/平湖线;1号线/罗宝线;3号线/龙岗线
4,subway,2,东门(地铁站),交通设施服务;地铁站;地铁站,372,22.542946,114.117079,5号线/环中线
4,subway,3,嘉宾(地铁站),交通设施服务;地铁站;地铁站,693,22.539105,114.115426,(在建)17号线/平湖线
4,school,1,深圳市桂园小学,科教文化服务;学校;小学,360,22.545475,114.110980,宝安南路2028号(大剧院地铁站D口步行430米)
4,school,2,深圳市罗湖区星园学校,科教文化服务;学校;小学,512,22.549733,114.113248,桂园路94号
4,school,3,深圳小学,科教文化服务;学校;小学,762,22.550021,114.119823,人民北路2171号(晒布地铁站D1口步行390米)
4,hospital,1,广州中医药大学第四临床医学院,科教文化服务;学校;高等院校,272,22.543789,114.112368,深圳市中医院第一门诊部西北门旁
4,hospital,2,深圳市中医院科教中心,科教文化服务;科教文化场所;科教文化场所,527,22.541251,114.117178,迎春路15号(国贸地铁站E口步行320米)
4,hospital,3,深圳远大胃肠肛肠医院,生活服务;生活服务场所;生活服务场所,690,22.539815,114.117669,南湖街道嘉北社区迎春路3号海燕大厦嘉宾路3002-2层-4层
4,mall,1,深圳文和友,购物服务;商场;商场,9,22.545339,114.114531,解放路3002号(老街地铁站G口步行310米)
4,mall,2,和平茂业商场(鸿隆世纪广场店),购物服务;商场;商场,130,22.544124,114.114236,东门街道和平路3009号茂业商场二楼
4,mall,3,茂业奥特莱斯(和平路店),购物服务;商场;购物中心,130,22.544115,114.114262,解放路人民桥(老街地铁站H口步行230米)
4,park,1,飞跃恐龙谷,风景名胜;风景名胜相关;旅游景点,414,22.545274,114.118505,602(老街地铁站出入口步行110米)
4,park,2,深南宝安路街头公园,风景名胜;公园广场;公园,416,22.542559,114.111693,宝安南路街头公园(大剧院地铁站D口步行350米)
4,park,3,和平社区公园,风景名胜;公园广场;公园,696,22.539137,114.113149,东门太平洋商贸大厦(嘉宾路北)
5,subway,1,民宝(地铁站),交通设施服务;地铁站;地铁站,547,22.620683,114.032817,(在建)27号线
5,subway,2,民治(地铁站),交通设施服务;地铁站;地铁站,599,22.617545,114.040850,(在建)22号线/中轴线;5号线/环中线
5,subway,3,民治北(地铁站),交通设施服务;地铁站;地铁站,1028,22.631399,114.037208,(在建)22号线/中轴线
5,school,1,泊寓-民治小学公社,科教文化服务;科教文化场所;科教文化场所,244,22.619982,114.037867,塘水围新村3区66B栋
5,school,2,民治小学,科教文化服务;学校;小学,257,22.620262,114.039276,民治大道395号(民治地铁站D口步行310米)
5,school,3,深圳市龙华区行知实验小学,科教文化服务;学校;小学,1144,22.614488,114.045274,民治街道民新社区民丰路30号
5,hospital,1,深圳健安医院,医疗保健服务;综合医院;综合医院,758,22.628992,114.038086,民治街道沙吓工业区169号
5,hospital,2,深圳健安医院妇科中心,医疗保健服务;综合医院;综合医院,758,22.628996,114.038074,龙华区沙吓工业区169号
5,hospital,3,阳光里社康服务中心,医疗保健服务;综合医院;卫生院,844,22.625052,114.030277,民治街道民兴街绿景公馆一八六六花园南区商铺首层
5,mall,1,华洋商城,购物服务;商场;普通商场,120,22.621306,114.037206,民旺路79号
5,mall,2,恒科商业广场,购物服务;商场;普通商场,194,22.621218,114.039461,民治大道435号(民治地铁站D口步行390米)
5,mall,3,嘉熙业广场,购物服务;商场;购物中心,226,22.623123,114.039840,民治大道328号
5,park,1,民治社区公园-凉亭,风景名胜;风景名胜相关;旅游景点,390,22.619425,114.035538,民治街道民旺路88号民治社区公园(东北角)
5,park,2,民治社区公园,风景名胜;公园广场;公园,423,22.619185,114.035345,民治街道民旺路88号
5,park,3,民治电信支局闲置地改建公园,风景名胜;公园广场;公园,431,22.621334,114.033793,民治街道民强社区民旺路142号
6,subway,1,景龙(地铁站),交通设施服务;地铁站;地铁站,374,22.646432,114.027624,(在建)25号线一期
6,subway,2,油福(地铁站),交通设施服务;地铁站;地铁站,522,22.642128,114.032753,(在建)25号线一期;(在建)27号线
6,subway,3,松和(地铁站),交通设施服务;地铁站;地铁站,1035,22.640214,114.038572,(在建)22号线/中轴线
6,school,1,乐思拓教育(壹成中心校区),科教文化服务;培训机构;培训机构,82,22.646025,114.030775,鸿荣路壹城中心七区1栋B座二楼37号街铺
6,school,2,A+计划教育(壹方天地校区),科教文化服务;培训机构;培训机构,412,22.650312,114.031488,东环一路230号
6,school,3,深圳市龙华区创新实验学校小学部,科教文化服务;学校;小学,536,22.651292,114.030008,龙华街道景新社区景龙太平路10号
6,hospital,1,深圳固生堂中医龙华门诊部,医疗保健服务;医药保健销售店;医疗保健用品|医疗保健服务;诊所;诊所,557,22.651615,114.030999,龙华街道景龙社区建设东路东南侧东华明珠园商场1011楼L1-012号
6,hospital,2,深圳市龙华区人民医院创伤中心,医疗保健服务;综合医院;三级甲等医院,997,22.655325,114.033525,龙华街道景龙建设路38号人民医院新外科楼2楼
6,hospital,3,深圳市龙华区人民医院,医疗保健服务;综合医院;三级甲等医院,1003,22.655543,114.032620,龙华街道景龙社区龙华建设路38号
6,mall,1,壹方天地B区,购物服务;商场;普通商场,211,22.646507,114.029210,人民路4022号
6,mall,2,壹方天地,购物服务;商场;普通商场|购物服务;商场;购物中心,213,22.646577,114.029185,人民路4022号
6,mall,3,MONOLOGUE(深圳壹方天地店),购物服务;专卖店;珠宝首饰工艺品,275,22.644175,114.030825,人民路4022号壹方天地C区L1层
6,park,1,景龙儿童街心公园,风景名胜;公园广场;公园,491,22.650951,114.030383,龙华街道景新社区景龙太平路8号
6,park,2,觅蜜花园,风景名胜;公园广场;公园,537,22.650303,114.027884,CITY BOOK儿童书房东侧绿地
6,park,3,龙华街道禁毒主题公园,风景名胜;公园广场;公园,985,22.643968,114.040414,民清路80号
7,subway,1,鹿丹村(地铁站),交通设施服务;地铁站;地铁站,259,22.535708,114.108625,9号线/梅林线
7,subway,2,红岭南(地铁站),交通设施服务;地铁站;地铁站,510,22.538490,114.106261,11号线/机场线;9号线/梅林线
7,subway,3,大剧院(地铁站),交通设施服务;地铁站;地铁站,877,22.541800,114.107811,1号线/罗宝线;2号线(8号线);5号线/环中线
7,school,1,深圳市滨河小学,科教文化服务;学校;小学,301,22.536272,114.105444,红岭南路1002号(鹿丹村地铁站D口步行320米)
7,school,2,燕贻学校,科教文化服务;学校;小学,570,22.539075,114.107225,金塘街与金华街交叉口北60米
7,school,3,深圳市福田区上步小学,科教文化服务;学校;小学,971,22.537788,114.098467,埔尾村55号(近南园路)
7,hospital,1,幸福万象大厦社康中心,医疗保健服务;综合医院;卫生院,429,22.532922,114.110988,渔民村路38号幸福万象大厦
7,hospital,2,深圳平乐骨伤科医院正骨科,医疗保健服务;专科医院;骨科医院,554,22.537675,114.103375,东园路与巴登街交叉口东120米
7,hospital,3,深圳平乐骨伤科医院(福田院区),医疗保健服务;专科医院;骨科医院,567,22.537651,114.103157,东园路30号(红岭南地铁站C口步行340米)
7,mall,1,中深烟草贸易中心商场,购物服务;专卖店;烟酒专卖店,495,22.537075,114.103525,东园路17号滨河新村(红岭南地铁站E口步行320米)
7,mall,2,深圳万象城(罗湖店)-2期,购物服务;商场;普通商场,609,22.537994,114.110958,宝安南路1881号(鹿丹村地铁站C口步行320米)
7,mall,3,丽晶商业广场,购物服务;商场;普通商场,626,22.539567,114.107354,金塘街48号(大剧院地铁站E口步行170米)
7,park,1,滨江新村社区公园,风景名胜;公园广场;公园,638,22.536778,114.101559,东园路87-89号
7,park,2,嘉宾公园,风景名胜;公园广场;公园,728,22.538296,114.112261,宝安南路1881号万象城对面
7,park,3,119消防主题公园,风景名胜;公园广场;公园,763,22.539022,114.111965,宝安路与嘉宾路交叉口西北40米
8,subway,1,贝尔路(地铁站),交通设施服务;地铁站;地铁站,653,22.641719,114.066366,(在建)25号线一期;10号线/坂田线
8,subway,2,华为(地铁站),交通设施服务;地铁站;地铁站,672,22.650445,114.067171,10号线/坂田线
8,subway,3,黄君山(地铁站),交通设施服务;地铁站;地铁站,1268,22.641837,114.059469,(在建)25号线一期
8,school,1,龙岗区外国语学校(集团)云和学校小学部,科教文化服务;学校;小学,479,22.647075,114.066725,坂雪岗大道与隆平路交叉口东北150米
8,school,2,雪象小学,科教文化服务;学校;小学,883,22.650859,114.077580,雪岗路1041号
8,school,3,立雪小学,科教文化服务;学校;小学,1087,22.650838,114.080063,坂田街道坂澜大道52号
8,hospital,1,深圳市龙岗区第二中医院,医疗保健服务;综合医院;综合医院,390,22.646145,114.074873,坂田街道万科城社区坂澜大道20号
