date,fr001,fr007,fr014,fdr001,fdr007,fdr014,source,source_url
2026-09-10,1.42,1.43,1.44,1.41,1.41,1.41,latest_json,https://www.chinamoney.com.cn/r/cms/www/chinamoney/data/currency/frr.json
2026-09-09,1.39,1.415,1.43,1.37,1.39,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-09-08,1.38,1.41,1.425,1.37,1.38,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-09-07,1.38,1.41,1.43,1.37,1.38,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-09-04,1.37,1.41,1.425,1.36,1.37,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-09-03,1.37,1.415,1.43,1.36,1.37,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-09-02,1.38,1.415,1.43,1.36,1.38,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-09-01,1.38,1.42,1.425,1.36,1.39,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-31,1.44,1.425,1.43,1.42,1.41,1.41,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-28,1.37,1.41,1.43,1.34,1.38,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-27,1.38,1.43,1.44,1.36,1.39,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-26,1.44,1.44,1.44,1.41,1.42,1.42,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-25,1.46,1.46,1.45,1.44,1.45,1.43,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-24,1.47,1.44,1.45,1.42,1.43,1.42,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-21,1.47,1.45,1.45,1.44,1.43,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-20,1.4,1.425,1.45,1.38,1.38,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-19,1.39,1.415,1.44,1.38,1.38,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-18,1.38,1.415,1.45,1.36,1.3726,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-17,1.38,1.42,1.43,1.36,1.38,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-14,1.39,1.42,1.44,1.36,1.38,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-13,1.39,1.425,1.44,1.36,1.4,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-12,1.39,1.43,1.44,1.37,1.39,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-11,1.39,1.42,1.43,1.36,1.39,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-10,1.4,1.42,1.42,1.38,1.4,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-07,1.39,1.41,1.42,1.37,1.38,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-06,1.37,1.42,1.43,1.35,1.38,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-05,1.38,1.43,1.43,1.36,1.37,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-04,1.39,1.43,1.44,1.37,1.38,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-08-03,1.45,1.44,1.44,1.42,1.42,1.41,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-31,1.48,1.46,1.45,1.42,1.45,1.45,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-30,1.44,1.49,1.47,1.4,1.45,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-29,1.55,1.5,1.48,1.4412,1.5,1.4629,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-28,1.5,1.47,1.45,1.42,1.46,1.45,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-27,1.44,1.44,1.43,1.42,1.4249,1.42,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-24,1.4,1.41,1.43,1.38,1.4,1.38,latest_json,https://www.chinamoney.com.cn/r/cms/www/chinamoney/data/currency/frr.json
2026-07-23,1.39,1.42,1.45,1.36,1.39,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-22,1.38,1.425,1.45,1.37,1.3935,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-21,1.4,1.43,1.46,1.38,1.4,1.43,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-20,1.45,1.43,1.48,1.41,1.43,1.43,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-17,1.46,1.44,1.44,1.4,1.4348,1.4338,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-16,1.48,1.44,1.44,1.39,1.431,1.43,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-15,1.45,1.44,1.44,1.39,1.42,1.42,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-14,1.4,1.43,1.43,1.39,1.4,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-13,1.39,1.425,1.43,1.37,1.399,1.4,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-10,1.38,1.42,1.43,1.36,1.38,1.39,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-09,1.38,1.43,1.44,1.36,1.38,1.38,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
2026-07-08,1.39,1.43,1.43,1.37,1.38,1.36,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis
