date,current_account_usd_yi,goods_surplus_usd_yi,services_surplus_usd_yi,primary_income_usd_yi,secondary_income_usd_yi,capital_financial_usd_yi,is_preliminary,source_url
2026-03-01,1843,2475,-596,-74,38,-1881,0,https://www.safe.gov.cn/safe/2026/0626/27617.html
2025-12-01,2438,3103,-485,-249,69,-2348,0,https://www.safe.gov.cn/safe/2026/0327/27297.html
2025-09-01,1987,2695,-493,-296,81,-2405,0,https://www.safe.gov.cn/safe/2025/1231/26981.html
2025-06-01,1287,2191,-471,-474,41,-1370,0,https://www.safe.gov.cn/safe/2025/0930/26624.html
2025-03-01,1654,2375,-593,-155,28,-1407,0,https://www.safe.gov.cn/safe/2025/0627/26251.html
2024-12-01,1638,2498,-474,-433,47,-1873,0,https://www.safe.gov.cn/safe/2025/0328/25908.html
2024-09-01,1476,2299,-586,-278,41,-1381,0,https://www.safe.gov.cn/safe/2024/1227/25571.html
2024-06-01,545,1671,-617,-535,27,-484,0,https://www.safe.gov.cn/safe/2024/0930/25106.html
2024-03-01,392,1213,-612,-243,34,-744,0,https://www.safe.gov.cn/safe/2024/0628/24673.html
2023-12-01,562,1511,-567,-426,44,-466,0,https://www.safe.gov.cn/safe/2024/0329/24180.html
2023-09-01,628,1611,-662,-344,23,-623,0,https://www.safe.gov.cn/safe/2023/1229/23730.html
