date,goods_export_usd_yi,goods_import_usd_yi,goods_surplus_usd_yi,services_export_usd_yi,services_import_usd_yi,services_surplus_usd_yi,total_export_usd_yi,total_import_usd_yi,total_surplus_usd_yi,source_url
2026-05-01,3440,2581,859,359,539,-180,3799,3120,679,https://www.safe.gov.cn/safe/2026/0626/27618.html
2026-04-01,3550,2809,741,408,556,-148,3959,3365,593,https://www.safe.gov.cn/safe/2026/0529/27512.html
2026-03-01,3468,2790,678,362,605,-243,3829,3395,434,https://www.safe.gov.cn/safe/2026/0429/27407.html
2026-02-01,2805,2102,703,287,471,-184,3092,2573,519,https://www.safe.gov.cn/safe/2026/0327/27299.html
2026-01-01,3352,2347,1004,392,568,-176,3744,2916,828,https://www.safe.gov.cn/safe/2026/0228/27172.html
2025-12-01,3775,2566,1209,502,638,-137,4276,3204,1072,https://www.safe.gov.cn/safe/2026/0130/27086.html
2025-11-01,3169,2246,923,347,465,-117,3516,2711,805,https://www.safe.gov.cn/safe/2025/1226/26951.html
2025-10-01,3049,2145,904,367,480,-112,3416,2625,792,https://www.safe.gov.cn/safe/2025/1128/26884.html
2025-09-01,3341,2401,940,377,545,-168,3718,2946,772,https://www.safe.gov.cn/safe/2025/1031/26756.html
2025-08-01,3000,2132,868,357,515,-158,3357,2647,710,https://www.safe.gov.cn/safe/2025/0926/26593.html
2025-07-01,3088,2166,922,371,533,-162,3459,2699,760,https://www.safe.gov.cn/safe/2025/0829/26446.html
2025-06-01,2952,2106,846,340,485,-145,3292,2591,701,https://www.safe.gov.cn/safe/2025/0731/26372.html
2025-05-01,2849,2129,720,327,483,-155,3176,2611,565,https://www.safe.gov.cn/safe/2025/0627/26252.html
2025-04-01,2917,2297,620,348,506,-158,3265,2803,462,https://www.safe.gov.cn/safe/2025/0530/26156.html
2025-03-01,2966,2125,841,334,528,-195,3299,2653,646,https://www.safe.gov.cn/safe/2025/0425/26022.html
2025-02-01,2494,1848,647,317,481,-164,2811,2329,482,https://www.safe.gov.cn/safe/2025/0328/25907.html
2025-01-01,2799,1916,883,351,578,-227,3150,2494,656,https://www.safe.gov.cn/safe/2025/0228/25805.html
2024-12-01,3345,2426,919,415,615,-199,3761,3041,720,https://www.safe.gov.cn/safe/2025/0124/25703.html
2024-11-01,2999,2184,815,329,454,-125,3328,2638,690,https://www.safe.gov.cn/safe/2024/1227/25570.html
2024-10-01,3020,2262,759,330,473,-143,3350,2734,616,https://www.safe.gov.cn/safe/2024/1129/25437.html
2024-09-01,3178,2292,885,342,514,-172,3520,2806,713,https://www.safe.gov.cn/safe/2024/1031/25283.html
2024-08-01,2901,2098,802,324,537,-213,3224,2635,589,https://www.safe.gov.cn/safe/2024/0927/25078.html
2024-07-01,2854,2249,605,321,515,-194,3175,2764,411,https://www.safe.gov.cn/safe/2024/0830/24922.html
2024-06-01,2713,2143,569,299,461,-162,3011,2604,407,https://www.safe.gov.cn/safe/2024/0726/24812.html
2024-05-01,2740,2189,551,285,500,-215,3025,2689,336,https://www.safe.gov.cn/safe/2024/0628/24675.html
2024-04-01,2684,2288,396,290,528,-238,2974,2816,159,https://www.safe.gov.cn/safe/2024/0531/24523.html
2024-03-01,2614,2262,353,302,518,-216,2916,2780,137,https://www.safe.gov.cn/safe/2024/0426/24277.html
2024-02-01,2051,1772,278,274,450,-176,2325,2223,102,https://www.safe.gov.cn/safe/2024/0329/24179.html
2024-01-01,2846,2265,581,306,542,-235,3153,2806,346,https://www.safe.gov.cn/safe/2024/0229/24034.html
2023-12-01,2895,2318,577,321,574,-253,3216,2892,324,https://www.safe.gov.cn/safe/2024/0126/23918.html
2023-11-01,2805,2305,500,264,448,-184,3069,2752,316,https://www.safe.gov.cn/safe/2023/1229/23731.html
2023-10-01,2732,2277,455,248,441,-194,2980,2719,261,https://www.safe.gov.cn/safe/2023/1124/23524.html
2023-09-01,2860,2331,529,246,478,-231,3106,2808,297,https://www.safe.gov.cn/safe/2023/1027/23401.html
2023-08-01,2688,2152,536,261,498,-238,2949,2650,299,https://www.safe.gov.cn/safe/2023/0928/23257.html
2023-07-01,2553,2015,538,257,440,-184,2810,2455,355,https://www.safe.gov.cn/safe/2023/0825/23073.html
2023-06-01,2676,2083,593,265,451,-186,2941,2534,407,https://www.safe.gov.cn/safe/2023/0728/22988.html
