date,forex_usd_yi,mom_delta_usd_yi,mom_pct,source_url
2026-06-01,34163,-260,-0.75,https://www.safe.gov.cn/safe/2026/0706/27661.html
2026-05-01,34422,317,0.93,https://www.safe.gov.cn/safe/2026/0604/27533.html
2026-04-01,34105,684,2.05,https://www.safe.gov.cn/safe/2026/0507/27431.html
2026-03-01,33421,-857,-2.5,https://www.safe.gov.cn/safe/2026/0407/27328.html
2026-02-01,34278,287,0.85,https://www.safe.gov.cn/safe/2026/0306/27327.html
2026-01-01,33991,,1.23,https://www.safe.gov.cn/safe/2026/0206/27117.html
2025-12-01,33579,115,0.34,https://www.safe.gov.cn/safe/2026/0107/27020.html
2025-11-01,33464,30,,https://www.safe.gov.cn/safe/2025/1205/26904.html
2025-10-01,33433,47,0.14,https://www.safe.gov.cn/safe/2025/1107/26792.html
2025-09-01,33387,165,0.5,https://www.safe.gov.cn/safe/2025/1007/26634.html
2025-08-01,33222,299,0.91,https://www.safe.gov.cn/safe/2025/0905/26497.html
2025-07-01,32922,-252,-0.76,https://www.safe.gov.cn/safe/2025/0806/26390.html
2025-06-01,33174,322,0.98,https://www.safe.gov.cn/safe/2025/0707/26284.html
