date,total_rmb_wan_yi,total_usd_wan_yi,client_rmb_wan_yi,interbank_rmb_wan_yi,spot_rmb_wan_yi,derivative_rmb_wan_yi,source_url
2026-05-01,23.14,3.38,4.33,18.81,8.89,14.26,https://www.safe.gov.cn/safe/2026/0626/27620.html
2026-04-01,25.30,3.68,4.36,20.94,9.26,16.04,https://www.safe.gov.cn/safe/2026/0529/27516.html
2026-03-01,30.09,4.36,5,25.09,11.18,18.91,https://www.safe.gov.cn/safe/2026/0424/27390.html
2026-02-01,18.15,2.61,3.31,14.84,7.12,11.02,https://www.safe.gov.cn/safe/2026/0327/27300.html
2026-01-01,27.54,3.93,4.61,22.93,10.39,17.14,https://www.safe.gov.cn/safe/2026/0227/27171.html
2025-12-01,28.17,3.99,4.78,23.39,10.44,17.73,https://www.safe.gov.cn/safe/2026/0130/27087.html
2025-11-01,24.34,3.44,3.62,20.72,8.82,15.52,https://www.safe.gov.cn/safe/2025/1226/26952.html
2025-10-01,21.97,3.10,3.57,18.4,8.26,13.71,https://www.safe.gov.cn/safe/2025/1128/26885.html
2025-09-01,26.87,3.78,4.43,22.44,9.87,17,https://www.safe.gov.cn/safe/2025/1031/26757.html
2025-08-01,24.08,3.38,3.71,20.37,9.16,14.93,https://www.safe.gov.cn/safe/2025/0926/26600.html
2025-06-01,25.55,3.56,3.68,21.88,8.91,16.64,https://www.safe.gov.cn/safe/2025/0725/26357.html
2025-05-01,25.03,3.48,3.42,21.61,9.45,15.58,https://www.safe.gov.cn/safe/2025/0627/26255.html
2025-04-01,29.04,4.03,4.18,24.86,9.55,19.49,https://www.safe.gov.cn/safe/2025/0523/26123.html
2025-03-01,26.99,3.76,3.77,23.21,9.5,17.49,https://www.safe.gov.cn/safe/2025/0425/26023.html
2025-02-01,21.90,3.05,3.08,18.82,7.71,14.19,https://www.safe.gov.cn/safe/2025/0328/25913.html
2025-01-01,22.34,3.11,4.03,18.31,7.94,14.4,https://www.safe.gov.cn/safe/2025/0228/25806.html
2024-12-01,26.69,3.71,4.07,22.62,8.86,17.83,https://www.safe.gov.cn/safe/2025/0124/25717.html
2024-11-01,26.89,3.75,3.67,23.21,9.47,17.41,https://www.safe.gov.cn/safe/2024/1227/25587.html
2024-10-01,24.26,3.41,3.57,20.69,8.57,15.69,https://www.safe.gov.cn/safe/2024/1122/25410.html
2024-09-01,24.84,3.51,3.93,20.9,9.59,15.25,https://www.safe.gov.cn/safe/2024/1025/25261.html
2024-08-01,26.94,3.78,3.4,23.54,9.88,17.06,https://www.safe.gov.cn/safe/2024/0927/25077.html
2024-07-01,27.97,3.92,3.68,24.29,9.35,18.62,https://www.safe.gov.cn/safe/2024/0823/24906.html
2024-06-01,22.33,3.14,3.4,18.93,7.16,15.17,https://www.safe.gov.cn/safe/2024/0726/24813.html
2024-05-01,23.89,3.36,3.16,20.72,7.81,16.08,https://www.safe.gov.cn/safe/2024/0628/24677.html
2024-04-01,23.04,3.24,3.46,19.58,7.39,15.65,https://www.safe.gov.cn/safe/2024/0524/24473.html
2024-03-01,24.64,3.47,3.53,21.11,7.61,17.03,https://www.safe.gov.cn/safe/2024/0426/24278.html
2024-02-01,16.86,2.37,2.7,14.16,5.21,11.65,https://www.safe.gov.cn/safe/2024/0322/24134.html
2024-01-01,24.67,3.47,3.76,20.91,8.33,16.34,https://www.safe.gov.cn/safe/2024/0226/24025.html
2023-12-01,20.54,2.89,3.36,17.18,7.07,13.47,https://www.safe.gov.cn/safe/2024/0126/23919.html
2023-11-01,22.90,3.20,3.25,19.64,6.51,16.38,https://www.safe.gov.cn/safe/2023/1222/23699.html
