date,assets_usd_yi,liabilities_usd_yi,net_usd_yi,fdi_assets_usd_yi,portfolio_assets_usd_yi,other_assets_usd_yi,reserve_assets_usd_yi,fdi_liab_usd_yi,portfolio_liab_usd_yi,other_liab_usd_yi,source_url
2026-03-01,119757,79696,40060,36052,20466,25432,37511,40722,23926,14790,https://www.safe.gov.cn/safe/2026/0626/27619.html
2025-09-01,115073,74597,40476,34336,19520,24064,36889,37430,23272,13656,https://www.safe.gov.cn/safe/2025/1231/26982.html
2025-06-01,110645,72555,38090,33491,16942,23679,36271,37174,21607,13511,https://www.safe.gov.cn/safe/2025/0930/26625.html
2025-03-01,106978,70854,36124,32765,15818,22845,35339,36558,20614,13395,https://www.safe.gov.cn/safe/2025/0627/26254.html
2024-12-01,102167,69209,32958,31329,14173,21867,34556,36224,19396,13286,https://www.safe.gov.cn/safe/2025/0328/25906.html
2024-09-01,102129,70312,31817,31279,13577,21319,35718,35917,20253,13868,https://www.safe.gov.cn/safe/2024/1227/25572.html
2024-06-01,97929,68046,29883,30239,12353,20579,34539,34877,18577,14297,https://www.safe.gov.cn/safe/2024/0930/25107.html
2024-03-01,96643,67025,29618,29567,11539,20635,34694,35103,17403,14253,https://www.safe.gov.cn/safe/2024/0628/24674.html
2023-12-01,95817,66735,29082,29391,10984,20755,34497,35531,17016,13993,https://www.safe.gov.cn/safe/2024/0329/24178.html
2023-09-01,93046,64481,28565,28789,10759,20189,33085,33450,16736,14078,https://www.safe.gov.cn/safe/2023/1229/23729.html
2023-06-01,93670,65913,27758,28330,10817,20473,33849,33840,17511,14329,https://www.safe.gov.cn/safe/2023/0928/23260.html
2023-03-01,94457,68804,25653,28348,11016,21143,33790,35377,18377,14901,https://www.safe.gov.cn/safe/2023/0630/22881.html
2022-12-01,92580,67267,25313,27950,10335,20925,33065,34956,17810,14318,https://www.safe.gov.cn/safe/2023/0331/22540.html
2022-09-01,88980,65340,23640,25764,9328,21654,31936,34111,16623,14320,https://www.safe.gov.cn/safe/2022/1230/22190.html
