date,forex_usd_yi,imf_usd_yi,sdr_usd_yi,gold_usd_yi,gold_oz_wan,other_usd_yi,total_usd_yi,source_url
2026-06-01,34162.6,109.81,551.42,3037.24,7544,2.09,37863.2,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-05-01,34422.4,111.85,560.34,3407.52,7496,3.77,38505.9,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04-01,34105.5,109.38,560.33,3441.72,7464,0.27,38217.2,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03-01,33421.2,109.03,553.43,3427.63,7438,-0.09,37511.2,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02-01,34278.1,111.4,560.93,3875.88,7422,0.65,38826.9,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01-01,33990.8,111.98,562.34,3695.82,7419,1.89,38362.8,https://www.safe.gov.cn/safe/2026/0206/27116.html
2025-12-01,33578.7,111.79,558.24,3194.5,7415,-0.15,37443.1,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-11-01,33463.7,110.59,557.16,3106.47,7412,-1.43,37236.5,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-10-01,33433.4,110.58,555.62,2972.09,7409,-3.28,37068.4,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-09-01,33386.6,112.29,561.14,2832.91,7406,-3.53,36889.4,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-08-01,33221.5,113.4,560.13,2538.43,7402,-2.01,36431.5,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-07-01,32922.3,109.28,552.69,2439.85,7396,-3.47,36020.7,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-06-01,33174.2,112.86,559.3,2429.31,7390,-4.88,36270.8,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-05-01,32852.6,113.03,552.18,2419.88,7383,-3,35934.6,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-04-01,32816.6,111.86,550.51,2435.85,7377,-1.57,35913.3,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-03-01,32406.7,101.12,538.82,2295.94,7370,-3.6,35338.9,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-02-01,32272.2,100.87,530.77,2086.43,7361,-4.73,34985.6,https://www.safe.gov.cn/safe/2025/0206/27115.html
2025-01-01,32090.4,100.48,527.12,2065.34,7345,-3.23,34780.1,https://www.safe.gov.cn/safe/2025/0206/27115.html
2024-12-01,32023.6,97.58,526.88,1913.37,7329,-5.82,34555.6,https://www.safe.gov.cn/safe/2022/0207/23934.html
2024-11-01,32658.6,98.32,533.03,1934.31,7296,-7.85,35216.4,https://www.safe.gov.cn/safe/2022/0207/23934.html
