date,settle_usd_yi,sell_usd_yi,surplus_usd_yi,receipt_usd_yi,payment_usd_yi,receipt_surplus_usd_yi,source_url
2026-06-01,2978,2412,566,8943,8572,371,https://www.safe.gov.cn/safe/2026/0717/27704.html
2026-05-01,2439,2081,358,7738,7112,626,https://www.safe.gov.cn/safe/2026/0615/27569.html
2026-04-01,2573,2172,401,8320,7700,620,https://www.safe.gov.cn/safe/2026/0518/27459.html
2026-03-01,2736,2576,160,8239,8559,-320,https://www.safe.gov.cn/safe/2026/0415/27356.html
2026-02-01,2064,1636,428,6001,5645,356,https://www.safe.gov.cn/safe/2026/0316/27245.html
2026-01-01,2863,2065,798,7816,6995,821,https://www.safe.gov.cn/safe/2026/0213/27144.html
2025-12-01,3180,2179,1001,8244,7109,1135,https://www.safe.gov.cn/safe/2026/0115/27034.html
2025-11-01,2095,1938,157,6545,6367,178,https://www.safe.gov.cn/safe/2025/1219/26932.html
2025-10-01,2142,1965,177,6231,5719,512,https://www.safe.gov.cn/safe/2025/1117/26838.html
2025-09-01,2647,2136,511,6812,6843,-31,https://www.safe.gov.cn/safe/2025/1022/26693.html
2025-08-01,2118,1971,147,6383,6350,33,https://www.safe.gov.cn/safe/2025/0919/26552.html
2025-07-01,2336,2108,228,6904,6981,-77,https://www.safe.gov.cn/safe/2025/0815/26406.html
2025-06-01,2077,1823,254,6478,6225,253,https://www.safe.gov.cn/safe/2025/0722/26346.html
2025-05-01,1927,1814,113,6227,5897,330,https://www.safe.gov.cn/safe/2025/0617/26211.html
2025-04-01,2139,2182,-43,7031,6858,173,https://www.safe.gov.cn/safe/2025/0519/26113.html
2025-03-01,1896,1916,-20,6920,6428,492,https://www.safe.gov.cn/safe/2025/0422/26012.html
2025-02-01,1579,1683,-104,5866,5576,290,https://www.safe.gov.cn/safe/2025/0317/25864.html
2025-01-01,1815,2268,-453,6084,6350,-266,https://www.safe.gov.cn/safe/2025/0218/25787.html
2024-12-01,2264,2370,-106,7124,6566,558,https://www.safe.gov.cn/safe/2025/0114/25653.html
2024-11-01,2044,2009,35,5932,6127,-195,https://www.safe.gov.cn/safe/2024/1216/25498.html
2024-10-01,2164,1982,182,6094,5767,327,https://www.safe.gov.cn/safe/2024/1115/25365.html
2024-09-01,2377,1895,482,6306,5704,602,https://www.safe.gov.cn/safe/2024/1022/25229.html
2024-08-01,1902,1914,-12,5980,5826,154,https://www.safe.gov.cn/safe/2024/0918/25050.html
2024-07-01,1847,2392,-545,6221,6359,-138,https://www.safe.gov.cn/safe/2024/0815/24879.html
2024-06-01,1717,2066,-349,5733,5968,-235,https://www.safe.gov.cn/safe/2024/0719/24788.html
2024-05-01,1760,1919,-159,5848,5851,-3,https://www.safe.gov.cn/safe/2024/0617/24601.html
