date,usd_cny,usd_per100,eur_per100,jpy_per100,hkd_per100,gbp_per100,source_url
2026-07-24,6.7939,679.39,772.37,4.1447,86.637,903.78,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-23,6.7906,679.06,773.95,4.1589,86.616,907.01,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-22,6.7933,679.33,773.45,4.1592,86.636,907.44,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-21,6.7917,679.17,774.18,4.1763,86.628,910.83,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-20,6.7948,679.48,775.7,4.1782,86.669,912.62,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-17,6.7934,679.34,776.31,4.1811,86.648,914.14,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-16,6.7909,679.09,776.9,4.1815,86.63,917.03,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-15,6.7910,679.1,774.91,4.1847,86.647,908.39,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-14,6.7990,679.9,773.67,4.185,86.746,907.21,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-13,6.7972,679.72,774,4.1922,86.693,908.5,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-10,6.7989,679.89,777.12,4.1876,86.754,911.57,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-09,6.8036,680.36,776.96,4.1863,86.791,910.98,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-08,6.8077,680.77,776.14,4.1937,86.806,908.59,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-07,6.8054,680.54,777.56,4.1961,86.776,910.37,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-06,6.8066,680.66,777.08,4.2084,86.781,907.05,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-03,6.8047,680.47,776.09,4.2094,86.754,906,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-02,6.8088,680.88,773.62,4.184,86.804,902.87,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-07-01,6.8067,680.67,775.74,4.1835,86.784,900.76,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-30,6.8109,681.09,776.71,4.2045,86.855,901.45,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-29,6.8175,681.75,775.64,4.211,86.919,899.02,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-26,6.8166,681.66,774.05,4.2107,86.942,898.32,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-25,6.8209,682.09,773.49,4.2124,87.012,896.82,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-24,6.8195,681.95,774.34,4.2144,86.975,898.18,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-23,6.8171,681.71,776.54,4.2121,86.953,900.43,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-22,6.8150,681.5,778.86,4.2158,86.955,897.74,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-18,6.8130,681.3,781.74,4.2336,86.948,903.92,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-17,6.8096,680.96,787.76,4.2346,86.945,910.99,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-16,6.8108,681.08,786.36,4.2395,86.932,910.15,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-15,6.8088,680.88,786.86,4.2424,86.897,911.91,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-12,6.8109,681.09,785.76,4.2419,86.926,910.53,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-11,6.8150,681.5,784.25,4.2385,86.975,908.34,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-10,6.8130,681.3,783.92,4.2416,86.935,908.47,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-09,6.8147,681.47,784,4.2475,86.957,906.7,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-08,6.8198,681.98,784.76,4.2495,87.048,908.12,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-05,6.8157,681.57,789.19,4.251,87.005,912.31,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-04,6.8203,682.03,789.2,4.254,87.033,912.98,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-03,6.8184,681.84,789.9,4.2552,87.001,914.49,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
2026-06-02,6.8187,681.87,790.68,4.2621,86.998,914.72,https://www.safe.gov.cn/AppStructured/hlw/RMBQuery.do
