date,on,w1,w2,m1,m3,m6,m9,y1,source,source_url
2026-09-10,1.404,1.41,1.406,1.4189,1.43,1.451,1.47,1.48,latest_json,https://www.chinamoney.com.cn/r/cms/www/chinamoney/data/shibor/shibor.json
2026-09-09,1.373,1.392,1.395,1.418,1.43,1.451,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-09-08,1.371,1.38,1.392,1.418,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-09-07,1.372,1.38,1.389,1.4188,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-09-04,1.362,1.376,1.3869,1.4188,1.43,1.451,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-09-03,1.362,1.374,1.389,1.418,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-09-02,1.363,1.377,1.405,1.418,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-09-01,1.364,1.391,1.404,1.417,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-31,1.413,1.414,1.423,1.4168,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-28,1.339,1.387,1.41,1.417,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-27,1.365,1.394,1.416,1.418,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-26,1.412,1.424,1.4255,1.4178,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-25,1.435,1.4535,1.442,1.4178,1.43,1.451,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-24,1.419,1.432,1.43,1.4175,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-21,1.434,1.4256,1.42,1.4173,1.43,1.451,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-20,1.384,1.39,1.4,1.4175,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-19,1.381,1.385,1.4,1.4175,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-18,1.361,1.38,1.39,1.4165,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-17,1.362,1.3854,1.395,1.4162,1.43,1.45,1.471,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-14,1.363,1.39,1.4037,1.4162,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-13,1.367,1.3991,1.4097,1.4157,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-12,1.3712,1.3981,1.4069,1.4157,1.43,1.45,1.47,1.481,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-11,1.358,1.394,1.399,1.4167,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-10,1.377,1.4,1.4,1.417,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-07,1.361,1.391,1.3953,1.4167,1.43,1.4501,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
2026-08-06,1.353,1.383,1.39,1.416,1.43,1.45,1.47,1.48,his_api,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-shibor/ShiborHis
