city,district,category,week_end,days,total_units,total_area_sqm,avg_daily_units,avg_daily_area_sqm
广州,从化区,新房,2026-06-28,3,20,2574.84,6.67,858.28
广州,从化区,新房,2026-07-05,5,18,2084.71,3.6,416.94
广州,从化区,新房,2026-07-12,5,16,1760.06,3.2,352.01
广州,从化区,新房,2026-07-19,7,22,2212.33,3.14,316.05
广州,南沙区,新房,2026-06-28,3,79,8675.06,26.33,2891.69
广州,南沙区,新房,2026-07-05,5,65,6953.95,13.0,1390.79
广州,南沙区,新房,2026-07-12,5,88,10113.15,17.6,2022.63
广州,南沙区,新房,2026-07-19,7,103,11304.17,14.71,1614.88
广州,增城区,新房,2026-06-28,3,102,10378.17,34.0,3459.39
广州,增城区,新房,2026-07-05,5,117,10569.88,23.4,2113.98
广州,增城区,新房,2026-07-12,5,109,10969.6,21.8,2193.92
广州,增城区,新房,2026-07-19,7,193,19856.1,27.57,2836.59
广州,天河区,新房,2026-06-28,3,56,7900.31,18.67,2633.44
广州,天河区,新房,2026-07-05,5,38,4540.44,7.6,908.09
广州,天河区,新房,2026-07-12,5,24,2977.81,4.8,595.56
广州,天河区,新房,2026-07-19,7,58,8202.3,8.29,1171.76
广州,海珠区,新房,2026-06-28,3,41,5583.13,13.67,1861.04
广州,海珠区,新房,2026-07-05,5,21,2543.38,4.2,508.68
广州,海珠区,新房,2026-07-12,5,13,1643.77,2.6,328.75
广州,海珠区,新房,2026-07-19,7,108,13069.22,15.43,1867.03
广州,番禺区,新房,2026-06-28,3,89,9888.43,29.67,3296.14
广州,番禺区,新房,2026-07-05,5,65,7449.33,13.0,1489.87
广州,番禺区,新房,2026-07-12,5,69,8671.98,13.8,1734.4
广州,番禺区,新房,2026-07-19,7,129,15600.83,18.43,2228.69
广州,白云区,新房,2026-06-28,3,370,31643.08,123.33,10547.69
广州,白云区,新房,2026-07-05,5,92,10986.69,18.4,2197.34
广州,白云区,新房,2026-07-12,5,62,7207.37,12.4,1441.47
广州,白云区,新房,2026-07-19,7,106,12078.1,15.14,1725.44
广州,花都区,新房,2026-06-28,3,44,4887.79,14.67,1629.26
广州,花都区,新房,2026-07-05,5,69,7573.21,13.8,1514.64
广州,花都区,新房,2026-07-12,5,61,6577.31,12.2,1315.46
广州,花都区,新房,2026-07-19,7,98,10940.49,14.0,1562.93
广州,荔湾区,新房,2026-06-28,3,29,3495.36,9.67,1165.12
广州,荔湾区,新房,2026-07-05,5,55,6834.84,11.0,1366.97
广州,荔湾区,新房,2026-07-12,5,80,9826.45,16.0,1965.29
广州,荔湾区,新房,2026-07-19,7,82,9480.2,11.71,1354.31
广州,越秀区,新房,2026-06-28,3,5,423.02,1.67,141.01
广州,越秀区,新房,2026-07-05,5,1,70.6,0.2,14.12
广州,越秀区,新房,2026-07-12,5,6,637.17,1.2,127.43
广州,越秀区,新房,2026-07-19,7,7,679.75,1.0,97.11
广州,黄埔区,新房,2026-06-28,3,117,11243.2,39.0,3747.73
广州,黄埔区,新房,2026-07-05,5,219,19267.54,43.8,3853.51
广州,黄埔区,新房,2026-07-12,5,161,14025.03,32.2,2805.01
广州,黄埔区,新房,2026-07-19,7,130,14497.39,18.57,2071.06
深圳,光明,二手,2026-06-28,3,25,2306.46,8.33,768.82
深圳,光明,二手,2026-07-05,5,21,1695.74,4.2,339.15
深圳,光明,二手,2026-07-12,5,15,1097.63,3.0,219.53
深圳,光明,二手,2026-07-19,6,29,2799.84,4.83,466.64
深圳,光明,新房,2026-06-28,3,55,5175.58,18.33,1725.19
深圳,光明,新房,2026-07-05,5,47,4701.82,9.4,940.36
深圳,光明,新房,2026-07-12,5,61,5991.22,12.2,1198.24
深圳,光明,新房,2026-07-19,6,63,6308.09,10.5,1051.35
深圳,南山,二手,2026-06-28,3,113,12709.55,37.67,4236.52
深圳,南山,二手,2026-07-05,5,166,19326.16,33.2,3865.23
深圳,南山,二手,2026-07-12,5,150,16068.47,30.0,3213.69
深圳,南山,二手,2026-07-19,6,179,20462.93,29.83,3410.49
深圳,南山,新房,2026-06-28,3,35,7261.73,11.67,2420.58
深圳,南山,新房,2026-07-05,5,78,16030.6,15.6,3206.12
深圳,南山,新房,2026-07-12,5,70,10418.32,14.0,2083.66
深圳,南山,新房,2026-07-19,6,36,6586.26,6.0,1097.71
深圳,坪山,二手,2026-06-28,3,16,1455.25,5.33,485.08
深圳,坪山,二手,2026-07-05,5,24,1919.01,4.8,383.8
深圳,坪山,二手,2026-07-12,5,31,2963.48,6.2,592.7
深圳,坪山,二手,2026-07-19,6,17,1229.05,2.83,204.84
深圳,坪山,新房,2026-06-28,3,12,1060.2,4.0,353.4
深圳,坪山,新房,2026-07-05,5,15,1277.99,3.0,255.6
深圳,坪山,新房,2026-07-12,5,14,1212.78,2.8,242.56
深圳,坪山,新房,2026-07-19,6,21,1810.95,3.5,301.82
深圳,大鹏,二手,2026-06-28,3,2,274.52,0.67,91.51
深圳,大鹏,二手,2026-07-05,5,6,1039.2,1.2,207.84
深圳,大鹏,二手,2026-07-12,5,4,392.16,0.8,78.43
深圳,大鹏,二手,2026-07-19,6,7,703.42,1.17,117.24
深圳,大鹏,新房,2026-06-28,3,0,0.0,0.0,0.0
深圳,大鹏,新房,2026-07-05,5,0,0.0,0.0,0.0
深圳,大鹏,新房,2026-07-12,5,0,0.0,0.0,0.0
深圳,大鹏,新房,2026-07-19,6,0,0.0,0.0,0.0
深圳,宝安,二手,2026-06-28,3,85,7970.77,28.33,2656.92
深圳,宝安,二手,2026-07-05,5,156,14577.13,31.2,2915.43
深圳,宝安,二手,2026-07-12,5,129,12002.13,25.8,2400.43
深圳,宝安,二手,2026-07-19,6,112,11009.01,18.67,1834.84
深圳,宝安,新房,2026-06-28,3,39,5009.94,13.0,1669.98
深圳,宝安,新房,2026-07-05,5,75,8614.86,15.0,1722.97
深圳,宝安,新房,2026-07-12,5,61,6693.74,12.2,1338.75
深圳,宝安,新房,2026-07-19,6,52,6223.96,8.67,1037.33
深圳,深汕,二手,2026-06-28,3,0,0.0,0.0,0.0
深圳,深汕,二手,2026-07-05,5,0,0.0,0.0,0.0
深圳,深汕,二手,2026-07-12,5,0,0.0,0.0,0.0
深圳,深汕,二手,2026-07-19,6,0,0.0,0.0,0.0
深圳,深汕,新房,2026-06-28,3,0,0.0,0.0,0.0
