city,publish_date,deal_status,district,location,land_use,area_sqm,start_price_wan,land_no,package_code,source_org,source_url
深圳,2026-06-24,已成交,光明区,光侨路与观光路交叉处东北侧,二类居住用地,28043.75,126600,A512-0092,深土[2026]-[043],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A512-0092
深圳,2026-05-26,已成交,宝安区,新安街道海秀路和金科路交叉处西南侧,二类居住用地,37357.23,528000,A002-0113,深土[2026]-[029],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A002-0113
深圳,2026-04-30,已成交,南山区,粤海街道海云路和海天二路交叉口东北角,二类居住用地,14116.04,230200,T204-0153,深土[2026]-[024],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T204-0153
深圳,2026-04-30,已成交,前海深港现代服务业合作区,桂湾大街与枢纽三街交叉口,二类居住用地,11856,164500,T201-0233,深土[2026]-[023],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T201-0233
深圳,2026-04-03,已成交,龙岗区,龙岗区龙城街道,"二类居住用地,商业用地",169734.85,704500,G01046-0106,深土[2026]-[017],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01046-0106
深圳,2026-03-20,已成交,龙华区,龙华区民治街道华南路西侧， 民康路南侧,二类居住用地,13077.67,98300,A808-0035,深土[2026]-[008],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A808-0035
深圳,2026-02-12,已成交,罗湖区,罗湖区笋岗街道,二类居住用地,12125.37,86917,H302-0107、H302-0108,深土[2026]-[003],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=H302-0107、H302-0108
深圳,2025-11-10,已成交,福田区,梅林街道越华路10号,二类居住用地,4994.02,48000,B405-0308,深土[2025]-[058],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=B405-0308
深圳,2025-11-08,已成交,南山区,南山深圳湾超级总部基地白石二道与深湾二路的东南角,二类居住用地,11833.61,223600,T207-0068,深土[2025]-[057],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T207-0068
深圳,2025-11-08,已成交,光明区,马田街道兴发路与振明路交汇处东侧,二类居住用地,20523.78,76600,A627-0268,深土[2025]-[056],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A627-0268
深圳,2025-07-16,已成交,宝安区,新安街道甲岸南路与金科路交叉口西南侧,二类居住用地,42521.94,640900,A002-0108,深土[2025]-[027],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A002-0108
