city,year,quarter,metric_kind,residential_units,residential_area_wan_sqm,commercial_units,commercial_area_wan_sqm,office_units,office_area_wan_sqm,other_units,other_area_wan_sqm,publish_date,source_org,source_url,image_url,note
珠海,2026,2,new_commodity,3933,42.37,297,2.53,350,2.70,1469,2.49,2026-07-08,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922437.html,https://bdc.zhuhai.gov.cn/img/0/675/675582/3922437.png,含预购商品房预告登记及商品房现房转移登记；按不动产单元；非日更网签、非挂牌均价
珠海,2026,2,stock_transfer,7833,81.40,241,2.43,329,3.41,968,37.34,2026-07-08,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922439.html,https://bdc.zhuhai.gov.cn/img/0/675/675585/3922439.png,按不动产单元统计；非日更网签、非挂牌均价
珠海,2026,1,new_commodity,2875,32.46,330,2.41,314,2.45,2033,10.50,2026-04-14,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896523.html,https://bdc.zhuhai.gov.cn/img/0/652/652712/3896523.png,含预购商品房预告登记及商品房现房转移登记；按不动产单元；非日更网签、非挂牌均价
珠海,2026,1,stock_transfer,6219,66.53,498,4.52,290,3.71,1066,41.21,2026-04-14,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896528.html,https://bdc.zhuhai.gov.cn/img/0/652/652713/3896528.png,按不动产单元统计；非日更网签、非挂牌均价
珠海,2025,4,new_commodity,4353,48.01,350,5.67,806,5.56,2007,7.25,2026-01-14,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871073.html,https://bdc.zhuhai.gov.cn/img/0/627/627969/3871073.png,含预购商品房预告登记及商品房现房转移登记；按不动产单元；非日更网签、非挂牌均价
珠海,2025,4,stock_transfer,6475,68.31,303,4.26,238,8.16,1187,42.23,2026-01-14,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871075.html,https://bdc.zhuhai.gov.cn/img/0/627/627971/3871075.png,按不动产单元统计；非日更网签、非挂牌均价
珠海,2025,3,new_commodity,4419,46.29,188,1.30,625,6.03,3384,12.66,2025-10-21,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844187.html,https://bdc.zhuhai.gov.cn/img/0/600/600676/3844187.png,含预购商品房预告登记及商品房现房转移登记；按不动产单元；非日更网签、非挂牌均价
珠海,2025,3,stock_transfer,6850,72.32,302,8.60,231,5.82,1031,17.24,2025-10-21,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844192.html,https://bdc.zhuhai.gov.cn/img/0/600/600677/3844192.png,按不动产单元统计；非日更网签、非挂牌均价
珠海,2025,2,new_commodity,4962,52.30,396,4.92,2391,28.60,2783,5.64,2025-07-30,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820497.html,https://bdc.zhuhai.gov.cn/img/0/575/575502/3820497.png,含预购商品房预告登记及商品房现房转移登记；按不动产单元；非日更网签、非挂牌均价
珠海,2025,2,stock_transfer,7387,79.60,236,5.45,246,12.06,976,40.83,2025-07-30,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820501.html,https://bdc.zhuhai.gov.cn/img/0/575/575503/3820501.png,按不动产单元统计；非日更网签、非挂牌均价
珠海,2025,1,new_commodity,6837,71.59,274,3.47,661,6.05,2639,4.87,2025-04-21,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3788936.html,https://bdc.zhuhai.gov.cn/img/0/541/541734/3788936.png,含预购商品房预告登记及商品房现房转移登记；按不动产单元；非日更网签、非挂牌均价
珠海,2025,1,stock_transfer,6125,64.98,262,2.91,155,1.80,813,14.90,2025-04-21,珠海市不动产登记中心,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3788946.html,https://bdc.zhuhai.gov.cn/img/0/541/541735/3788946.png,按不动产单元统计；非日更网签、非挂牌均价
