city,year,quarter,metric_kind,district,residential_units,residential_area_wan_sqm,commercial_units,commercial_area_wan_sqm,office_units,office_area_wan_sqm,other_units,other_area_wan_sqm,source_url
珠海,2026,2,new_commodity,横琴粤澳深度合作区,217,2.20,11,0.04,107,0.80,140,0.46,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922437.html
珠海,2026,2,new_commodity,香洲区,1152,13.79,107,0.78,226,1.74,501,0.76,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922437.html
珠海,2026,2,new_commodity,金湾区,949,9.22,100,0.85,6,0.02,255,0.32,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922437.html
珠海,2026,2,new_commodity,斗门区,1190,12.34,47,0.30,5,0.02,378,0.71,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922437.html
珠海,2026,2,new_commodity,高新区,425,4.82,32,0.56,6,0.12,195,0.24,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922437.html
珠海,2026,2,stock_transfer,横琴粤澳深度合作区,388,3.66,8,0.06,58,0.46,56,0.11,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922439.html
珠海,2026,2,stock_transfer,香洲区,3547,37.10,123,1.33,250,2.05,457,4.00,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922439.html
珠海,2026,2,stock_transfer,金湾区,1769,17.02,42,0.38,16,0.27,220,11.24,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922439.html
珠海,2026,2,stock_transfer,斗门区,1718,17.94,62,0.61,4,0.63,173,21.01,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922439.html
珠海,2026,2,stock_transfer,高新区,411,5.69,6,0.05,1,0.01,62,0.98,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3922439.html
珠海,2026,1,new_commodity,横琴粤澳深度合作区,176,1.80,19,0.30,118,0.96,651,3.44,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896523.html
珠海,2026,1,new_commodity,香洲区,942,11.34,162,0.72,173,1.28,579,1.64,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896523.html
珠海,2026,1,new_commodity,金湾区,590,5.79,89,0.83,17,0.12,363,0.46,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896523.html
珠海,2026,1,new_commodity,斗门区,684,7.18,41,0.33,3,0.05,294,4.77,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896523.html
珠海,2026,1,new_commodity,高新区,483,6.35,19,0.23,3,0.04,146,0.19,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896523.html
珠海,2026,1,stock_transfer,横琴粤澳深度合作区,239,2.18,3,0.01,51,0.42,58,12.15,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896528.html
珠海,2026,1,stock_transfer,香洲区,2979,30.80,377,1.77,207,2.69,607,6.32,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896528.html
珠海,2026,1,stock_transfer,金湾区,1282,13.32,43,0.46,8,0.04,171,5.48,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896528.html
珠海,2026,1,stock_transfer,斗门区,1337,14.95,72,2.26,6,0.35,173,13.44,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896528.html
珠海,2026,1,stock_transfer,高新区,382,5.28,3,0.02,18,0.21,57,3.82,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3896528.html
珠海,2025,4,new_commodity,横琴粤澳深度合作区,204,2.10,41,0.31,511,2.81,239,1.81,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871073.html
珠海,2025,4,new_commodity,香洲区,1091,13.57,219,1.00,264,2.45,685,1.95,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871073.html
珠海,2025,4,new_commodity,金湾区,677,8.01,62,3.78,20,0.10,581,0.73,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871073.html
珠海,2025,4,new_commodity,斗门区,1456,14.84,11,0.33,9,0.15,305,2.40,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871073.html
珠海,2025,4,new_commodity,高新区,925,9.49,17,0.25,2,0.05,197,0.36,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871073.html
珠海,2025,4,stock_transfer,横琴粤澳深度合作区,244,2.12,4,0.02,43,0.41,68,0.13,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871075.html
珠海,2025,4,stock_transfer,香洲区,3215,33.56,175,2.87,163,5.57,633,11.40,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871075.html
珠海,2025,4,stock_transfer,金湾区,1302,13.18,51,0.37,11,1.08,240,16.09,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871075.html
珠海,2025,4,stock_transfer,斗门区,1341,14.22,66,0.94,17,0.94,175,4.03,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871075.html
珠海,2025,4,stock_transfer,高新区,373,5.24,7,0.06,4,0.16,71,10.57,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3871075.html
珠海,2025,3,new_commodity,横琴粤澳深度合作区,360,3.91,12,0.10,258,3.10,250,5.56,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844187.html
珠海,2025,3,new_commodity,香洲区,1098,12.99,58,0.32,338,2.46,1248,1.98,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844187.html
珠海,2025,3,new_commodity,金湾区,1084,10.76,56,0.40,3,0.01,1031,1.30,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844187.html
珠海,2025,3,new_commodity,斗门区,923,9.81,54,0.44,4,0.07,576,2.61,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844187.html
珠海,2025,3,new_commodity,高新区,954,8.82,8,0.04,22,0.39,279,1.21,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844187.html
珠海,2025,3,stock_transfer,横琴粤澳深度合作区,196,1.91,3,0.02,44,0.35,68,6.29,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844192.html
珠海,2025,3,stock_transfer,香洲区,3531,36.54,124,6.92,165,3.47,555,2.51,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844192.html
珠海,2025,3,stock_transfer,金湾区,1107,10.94,51,0.39,8,0.45,209,3.57,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844192.html
珠海,2025,3,stock_transfer,斗门区,1651,18.07,118,1.23,14,1.54,151,4.61,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844192.html
珠海,2025,3,stock_transfer,高新区,365,4.87,6,0.04,0,0.00,48,0.27,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3844192.html
珠海,2025,2,new_commodity,横琴粤澳深度合作区,216,2.07,15,0.37,719,7.38,217,0.75,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820497.html
珠海,2025,2,new_commodity,香洲区,1239,13.88,251,3.39,1236,11.32,1010,2.55,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820497.html
珠海,2025,2,new_commodity,金湾区,1470,13.72,90,0.89,12,0.07,877,1.10,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820497.html
珠海,2025,2,new_commodity,斗门区,1289,13.92,38,0.26,416,4.62,464,0.96,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820497.html
珠海,2025,2,new_commodity,高新区,748,8.71,2,0.01,8,5.21,215,0.28,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820497.html
珠海,2025,2,stock_transfer,横琴粤澳深度合作区,223,2.00,2,0.02,47,1.26,32,0.09,https://bdc.zhuhai.gov.cn/zwgk/sjfb/content/post_3820501.html
